image,stem,wnid,class,pair,has_caption,has_bbox,title,tags,n_tags,description
n02676566_10012.JPEG,n02676566_10012,n02676566,acousticguitar,acousticguitar_violin,1,0,Acoustic/Electric Guitars and Bass,Fender|Telecaster|guitar|Washburn|2005SCE|limited|edition|OLP|Spector|Bass,10,Stringed instruments kick back at JL Studios recording in Toronto.
n02676566_10019.JPEG,n02676566_10019,n02676566,acousticguitar,acousticguitar_violin,0,1,,,0,
n02676566_1002.JPEG,n02676566_1002,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_10062.JPEG,n02676566_10062,n02676566,acousticguitar,acousticguitar_violin,1,0,"my ""New"" guitar",New|Fernandes|Accoustic|Guitar|DIY|Chris|Richards|Palisade|D30|acoustic|christopher|adam,12,I removed the pick guard (that light spot to the right of the sound hole) because I intended on either painting or staining the whole thing.  I never liked those yellow/light wood grain guitars.
n02676566_1007.JPEG,n02676566_1007,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1009.JPEG,n02676566_1009,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_10102.JPEG,n02676566_10102,n02676566,acousticguitar,acousticguitar_violin,1,1,Want My Guitar?,guitar|acousticguitar|ClassicGuitar|MexicanGuitar|Paracho,5,I'm selling this handmade Mexiacan Paracho classical acoustic guitar
n02676566_10114.JPEG,n02676566_10114,n02676566,acousticguitar,acousticguitar_violin,1,0,Beautiful,guitar|acoustic guitar|ibanez|black and white|grey tones|new apartment|christmas present|boyfriend|happy|excited|purple bedspread|blank|nikon|d40,14,"I can't believe he got me a guitar for christmas! I don't know much about this guitar (as far as how good, the model, you know all the technical jazz) but I DO know, that I am very happy with it. It sounds so beautiful and it fits me perfect. It's one of the first acoustic guitars I've picked up that is actually easy on the fingers. Usually the strings are just too hard to push down, or perhaps it's because I'm used to my electric? Anyway, I'm super excited!"
n02676566_10140.JPEG,n02676566_10140,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_10175.JPEG,n02676566_10175,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1020.JPEG,n02676566_1020,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_103.JPEG,n02676566_103,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1039.JPEG,n02676566_1039,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_104.JPEG,n02676566_104,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1044.JPEG,n02676566_1044,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1046.JPEG,n02676566_1046,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1049.JPEG,n02676566_1049,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_105.JPEG,n02676566_105,n02676566,acousticguitar,acousticguitar_violin,0,1,,,0,
n02676566_1056.JPEG,n02676566_1056,n02676566,acousticguitar,acousticguitar_violin,1,0,Acoustic,guitar|epiphone|acoustic,3,
n02676566_1057.JPEG,n02676566_1057,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1066.JPEG,n02676566_1066,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_107.JPEG,n02676566_107,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1073.JPEG,n02676566_1073,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1074.JPEG,n02676566_1074,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_10753.JPEG,n02676566_10753,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1076.JPEG,n02676566_1076,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_108.JPEG,n02676566_108,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1084.JPEG,n02676566_1084,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1087.JPEG,n02676566_1087,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1096.JPEG,n02676566_1096,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1097.JPEG,n02676566_1097,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_110.JPEG,n02676566_110,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_11034.JPEG,n02676566_11034,n02676566,acousticguitar,acousticguitar_violin,1,0,Guitar,Epiphone|Guitar|Circle|Faded|Shapes|Acoustic,6,"A picture of my acoustic guitar, for some odd reason I like the upside look of it."
n02676566_11051.JPEG,n02676566_11051,n02676566,acousticguitar,acousticguitar_violin,1,0,Acoustic Crossings House Concert,stevie coyle|coyle|concert|house concert|ryge|lindalou and michael|acoustic crossings|acoustic|guitar,9, Stevie Coyle with guitar-maker Tony Yamamoto.
n02676566_1106.JPEG,n02676566_1106,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_11067.JPEG,n02676566_11067,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1107.JPEG,n02676566_1107,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_11075.JPEG,n02676566_11075,n02676566,acousticguitar,acousticguitar_violin,1,1,the GIFT,guitar|acoustic|electric|music|strum|rosette|Takamine,7,a detail of Brady playing his new guitar. he wanted an acoustic-electric guitar this year for Christmas. 2009
n02676566_1108.JPEG,n02676566_1108,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_11081.JPEG,n02676566_11081,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_11092.JPEG,n02676566_11092,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_11094.JPEG,n02676566_11094,n02676566,acousticguitar,acousticguitar_violin,0,1,,,0,
n02676566_11110.JPEG,n02676566_11110,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_11121.JPEG,n02676566_11121,n02676566,acousticguitar,acousticguitar_violin,0,1,,,0,
n02676566_11134.JPEG,n02676566_11134,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_11138.JPEG,n02676566_11138,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1115.JPEG,n02676566_1115,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1116.JPEG,n02676566_1116,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_11163.JPEG,n02676566_11163,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_1117.JPEG,n02676566_1117,n02676566,acousticguitar,acousticguitar_violin,0,0,,,0,
n02676566_11208.JPEG,n02676566_11208,n02676566,acousticguitar,acousticguitar_violin,1,0,Guitar,acoustic|guitar|seagull s6|s6,4,
n02676566_1122.JPEG,n02676566_1122,n02676566,acousticguitar,acousticguitar_violin,1,0,Acoustic Guitar #3,guitar|ayers|acoustic|nikond80|sb800|d80|nikon|Lars A. Kristiansen|photography|flash|18-70mm f/3.5-4.5G|facebook,12,
n02676566_11284.JPEG,n02676566_11284,n02676566,acousticguitar,acousticguitar_violin,1,0,Trevor Garrod on acoustic,Tea Leaf Green|jamband|music|concert|Trevor Garrod|acoustic guitar,6,"Tea Leaf Green Mexicali Live Teaneck, NJ 2008-11-25 "
n02676566_11293.JPEG,n02676566_11293,n02676566,acousticguitar,acousticguitar_violin,1,1,Acoustic/Electric,gibson|guitar|electric guitar|nikon d80|cassidy bond|sb800|tamron 17-50|godin guitars|L 4A|fretboard|pickups|strings|acoustic|electric|acoustic/electric|catchycolors|red|gold|black|godin|lg|sp90,22,Pretty girls
n02676566_1136.JPEG,n02676566_1136,n02676566,acousticguitar,acousticguitar_violin,0,1,,,0,
