image,stem,wnid,class,pair,has_caption,has_bbox,title,tags,n_tags,description
n02701002_1.JPEG,n02701002_1,n02701002,ambulance,ambulance_firetruck,1,0,San Diego Ambulance,san diego|ambulance|paramedic|fire|ford|econoline|sdmse,7,Ford ambulance at a brush fire in San Diego.
n02701002_10.JPEG,n02701002_10,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_10004.JPEG,n02701002_10004,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_1003.JPEG,n02701002_1003,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_10046.JPEG,n02701002_10046,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_10068.JPEG,n02701002_10068,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_1007.JPEG,n02701002_1007,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_10073.JPEG,n02701002_10073,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_10091.JPEG,n02701002_10091,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_10092.JPEG,n02701002_10092,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_101.JPEG,n02701002_101,n02701002,ambulance,ambulance_firetruck,1,0,Washington County ambulance,nc|north carolina|carolina|plymouth|washington|forest|forestry|wood|lumber|tree|festival|fair|show|parade|procession|ambulance,16,"NC Forest Festival, Plymouth"
n02701002_10156.JPEG,n02701002_10156,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_1020.JPEG,n02701002_1020,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_10200.JPEG,n02701002_10200,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_1023.JPEG,n02701002_1023,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_10251.JPEG,n02701002_10251,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_10253.JPEG,n02701002_10253,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_10279.JPEG,n02701002_10279,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_1029.JPEG,n02701002_1029,n02701002,ambulance,ambulance_firetruck,1,0,San Diego Ambulance,ambulance|paramedic|emt|ems|ford|econoline|sdfd|sandiego|sdmse,9,Ford ambulance of San Diego Fire Rescue Dept.
n02701002_10324.JPEG,n02701002_10324,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_10333.JPEG,n02701002_10333,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_1035.JPEG,n02701002_1035,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_10365.JPEG,n02701002_10365,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_1038.JPEG,n02701002_1038,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_10391.JPEG,n02701002_10391,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_1040.JPEG,n02701002_1040,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_1041.JPEG,n02701002_1041,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_10422.JPEG,n02701002_10422,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_1044.JPEG,n02701002_1044,n02701002,ambulance,ambulance_firetruck,1,1,Waterloo Region Ambulance,Waterloo|Ontario|2007|Ambulance|King Street|Pentax|K10D|16-45,8,
n02701002_10444.JPEG,n02701002_10444,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_10452.JPEG,n02701002_10452,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_10497.JPEG,n02701002_10497,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_1051.JPEG,n02701002_1051,n02701002,ambulance,ambulance_firetruck,1,0,The Ambulance in hot pursuit (just in case),Hanging Rock|Hanging|Rock|Races|Horse|Racing|Racetrack|Ambulance“Australia|Day”|Australia|Day,11,
n02701002_10558.JPEG,n02701002_10558,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_1056.JPEG,n02701002_1056,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_1059.JPEG,n02701002_1059,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_10624.JPEG,n02701002_10624,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_10625.JPEG,n02701002_10625,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_1063.JPEG,n02701002_1063,n02701002,ambulance,ambulance_firetruck,1,1,Air Ambulance #1,helicopter|ambulance|emergency|twyning|village|Eurocopter EC135 T2|G-HWAA,7,"Emergency at Twyning, landed on the village green just before dark. Eurocopter EC135 T2 with Turbomeca ARRIUS 2B2 power plant"
n02701002_10648.JPEG,n02701002_10648,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_10678.JPEG,n02701002_10678,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_107.JPEG,n02701002_107,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_1070.JPEG,n02701002_1070,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_10707.JPEG,n02701002_10707,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_1073.JPEG,n02701002_1073,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_10736.JPEG,n02701002_10736,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_10745.JPEG,n02701002_10745,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
n02701002_1076.JPEG,n02701002_1076,n02701002,ambulance,ambulance_firetruck,0,1,,,0,
n02701002_10767.JPEG,n02701002_10767,n02701002,ambulance,ambulance_firetruck,0,0,,,0,
