image,stem,wnid,class,pair,has_caption,has_bbox,title,tags,n_tags,description
n02219486_10008.JPEG,n02219486_10008,n02219486,ant,ant_bee,1,0,morerandompics 098,wood|ants|insects|ant|insect|bug|fireants,7,
n02219486_10047.JPEG,n02219486_10047,n02219486,ant,ant_bee,0,0,,,0,
n02219486_1018.JPEG,n02219486_1018,n02219486,ant,ant_bee,1,1,Carpenter Ant,Ants|CarpenterAnts|Dandelions|Insects,4,I think this is a Queen Carpenter Ant because it flew just after I snapped the picture
n02219486_10213.JPEG,n02219486_10213,n02219486,ant,ant_bee,0,0,,,0,
n02219486_10354.JPEG,n02219486_10354,n02219486,ant,ant_bee,0,0,,,0,
n02219486_10375.JPEG,n02219486_10375,n02219486,ant,ant_bee,1,0,"""Ant Party""",Ants|Lunch|Bread|Colony|Hey guys this is heaven|Exited Ants|Plate|Butter|Elizabeth_ jE.,9,"Like this s,B? ROF!! LOL  Aww i couldn't disterb them thay looked like they where haveing a wonderfull time.. and thay even brought a queen looking ant, tho I'm sure it wasn't her tho was huge compared to them.   "
n02219486_10391.JPEG,n02219486_10391,n02219486,ant,ant_bee,0,1,,,0,
n02219486_10468.JPEG,n02219486_10468,n02219486,ant,ant_bee,1,1,Leaf cutter ant,macro|close|up|leaf|cutter|ant|nature|insect|DiamondClassPhotographer|flickrdiamond|BuzzNBugz,11,Larger version available
n02219486_10500.JPEG,n02219486_10500,n02219486,ant,ant_bee,0,0,,,0,
n02219486_10515.JPEG,n02219486_10515,n02219486,ant,ant_bee,1,0,ant party.. everyone's invited!!,ant|queen|worker|male|colony|insect|macro|konica|minolta|kd-310z,10,"everybody's going to the party, have a real good time... Queen ants, male ants, major and minor workers .. "
n02219486_10849.JPEG,n02219486_10849,n02219486,ant,ant_bee,0,1,,,0,
n02219486_10855.JPEG,n02219486_10855,n02219486,ant,ant_bee,0,0,,,0,
n02219486_10922.JPEG,n02219486_10922,n02219486,ant,ant_bee,0,1,,,0,
n02219486_10972.JPEG,n02219486_10972,n02219486,ant,ant_bee,1,0,ants_640x480,newspaper|Japanese|ants|wrinkled|crumpled|badge|bitter rivalry,7,"I can only assume that these ants are poised to do battle on the field of combat.  The Me and Koji Inugay of ants."
n02219486_10975.JPEG,n02219486_10975,n02219486,ant,ant_bee,1,0,Ant-guiding-aphid-2006-06-28-121,Ants|Aphids|Symbiotic|Relationship,4,Ant herding an aphid
n02219486_11030.JPEG,n02219486_11030,n02219486,ant,ant_bee,0,0,,,0,
n02219486_11075.JPEG,n02219486_11075,n02219486,ant,ant_bee,0,0,,,0,
