image,stem,wnid,class,pair,has_caption,has_bbox,title,tags,n_tags,description
n02206856_1000.JPEG,n02206856_1000,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1003.JPEG,n02206856_1003,n02206856,bee,ant_bee,1,0,"Leaf-cutter Bee, male",Seattle|King County|WA|Washington|United States|North America|taxonomy:kingdom=Animalia|Animalia|Animal|Invertebrate|taxonomy:phylum=Arthropoda|Arthropoda|taxonomy:class=Insecta|Insecta|Insect|Pterygota|taxonomy:order=Hymenoptera|Hymenoptera|Aculeata|Anthophila|Apoidea|tiny|stubby|gray|on daisy|July|2007|taxonomy:family=Megachilidae|Megachilidae|Leaf-cutter Bee|male|Arthropod|Bee|Boulevard Park,34,"7/13/07 Boulevard Park, Seattle, Washington, U.S.A. Leaf-cutter Bee, male, ID pending... Found nectaring on Shasta Daisy. Kingdom: Animalia (Animals) Phylum: Arthropoda (Arthropods) Superclass: Hexapoda (Hexapods) Class: Insecta (Insects) Subclass: Pterygota (Winged Insects) Order: Hymenoptera (Ants, Bees, Wasps &amp; Sawflies) (Aculeata - Bees, Ants, &amp; other Stinging Wasps) Anthophila (Apoidea) - Bees Family: Megachilidae (Leaf-cutter bees, Mason Bees, &amp; allies) "
n02206856_1004.JPEG,n02206856_1004,n02206856,bee,ant_bee,1,0,Bee-Lieve Me.,bee|bees|insects|flowers|marigolds|salvia|red|yellow|nature|wildlife|outdoors|honey|pollen,13,
n02206856_101.JPEG,n02206856_101,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1014.JPEG,n02206856_1014,n02206856,bee,ant_bee,1,0,Busy Bee,flower|bee|insect|nature|SayWA|Bray|Devon Bray|abraysive.com,8,"Took advantage of the nice spring weather to take some flower/bee photos. Thanks to <a href=""http://www.flickr.com/photos/chrisnjule/464755573/"">Julie, for the inspiration</a>!"
n02206856_1023.JPEG,n02206856_1023,n02206856,bee,ant_bee,1,0,chicory with bee blue,chicory flower|chicory|blue|bee|flower|favorite color blue|bug|insect,8,"This is closer to the deep blue of the chicory flower, but the bee loses detail."
n02206856_1028.JPEG,n02206856_1028,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1030.JPEG,n02206856_1030,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1036.JPEG,n02206856_1036,n02206856,bee,ant_bee,0,1,,,0,
n02206856_1038.JPEG,n02206856_1038,n02206856,bee,ant_bee,0,1,,,0,
n02206856_1042.JPEG,n02206856_1042,n02206856,bee,ant_bee,1,1,The Honey Factory,hd|canon|20D|bee|macro|red|flower|insect|close|up|nature|wow|creature|natural|Hamad|Darwish,16,"A busy worker bee caught in action. This is probably my very first attempt to shoot insect shots. I kept chasing this poor bee all over the garden hahaha :P that was intersting to watch, I tell ya!  Well I just got this macro lens, so I thought I should put it to the test."
n02206856_1049.JPEG,n02206856_1049,n02206856,bee,ant_bee,1,1,Small Bee(2),bee|insect|macro|closeup|bug|hymenoptera|jon law|improvedimage,8,Small Bee
n02206856_1051.JPEG,n02206856_1051,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1055.JPEG,n02206856_1055,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1056.JPEG,n02206856_1056,n02206856,bee,ant_bee,1,1,:: bee ::,abelha|animal|bee|UltimateShot|AnimalKingdomElite|Specanimal|BuzzNBugz,7,=EXPLORE: 04/10 = é preciso uma abelha visitar aproximadamente 2.000 flores para transformar néctar em 100g de mel... 
n02206856_1060.JPEG,n02206856_1060,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1063.JPEG,n02206856_1063,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1064.JPEG,n02206856_1064,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1069.JPEG,n02206856_1069,n02206856,bee,ant_bee,1,0,Bee,bugs|insect|insects|nature|macro|ilovenature|Bee|bees|wildlife,9,
n02206856_1075.JPEG,n02206856_1075,n02206856,bee,ant_bee,1,1,From Bee-hind,bee|bees|flower|flowers|insect|insects|nature|bokeh|pink|pink flowers|nikon|d200|ozoni11,13,
n02206856_1077.JPEG,n02206856_1077,n02206856,bee,ant_bee,1,0,Bee 4,bee|insect,2,"A bee found lying on a hollyhock. Assumed it was dead until it moved slightly under the heat of the lamp, so put it in the greenhouse out of the wind to see if it would revive."
n02206856_1078.JPEG,n02206856_1078,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1081.JPEG,n02206856_1081,n02206856,bee,ant_bee,1,1,High Plains Bee,Badlands|South Dakota|bee|insect|flower|macro|ab,7,"In the Badlands, South Dakota."
n02206856_1083.JPEG,n02206856_1083,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1086.JPEG,n02206856_1086,n02206856,bee,ant_bee,0,1,,,0,
n02206856_1088.JPEG,n02206856_1088,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1089.JPEG,n02206856_1089,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1090.JPEG,n02206856_1090,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1092.JPEG,n02206856_1092,n02206856,bee,ant_bee,0,1,,,0,
n02206856_1095.JPEG,n02206856_1095,n02206856,bee,ant_bee,0,1,,,0,
n02206856_1100.JPEG,n02206856_1100,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1105.JPEG,n02206856_1105,n02206856,bee,ant_bee,0,0,,,0,
n02206856_111.JPEG,n02206856_111,n02206856,bee,ant_bee,1,0,Bumble Bee - Bombus californicus,North Seatac Park|Seatac|King County|WA|Washington|United States|North America|taxonomy:kingdom=Animalia|Animalia|Animal|Invertebrate|taxonomy:phylum=Arthropoda|Arthropoda|taxonomy:class=Insecta|Insecta|Insect|Pterygota|taxonomy:order=Hymenoptera|Hymenoptera|Aculeata|Anthophila|Apoidea|taxonomy:family=Apidae|Apidae|taxonomy:subfamily=Apinae|Apinae|taxonomy:tribe=Bombini|Bombini|taxonomy:genus=Bombus|Bombus|Bombus californicus|Bombus fervidus|large|yellow bands|no yellow face|July|2007|taxonomy:species=californicus|taxonomy:binomial=Bombus californicus|Arthropod|on Buddleja|Bee|black|Bumble Bee,44,"7/28/07 North Seatac Park, Seatac, Washington, U.S.A. <i>Bombus californicus</i> (<i>Bombus fervidus</i>), female. Nectaring on <b>Orange Eye Butterfly Bush</b>, <i>Buddleja davidii</i>. Kingdom: Animalia (Animals) Phylum: Arthropoda (Arthropods) Superclass: Hexapoda (Hexapods) Class: Insecta (Insects) Subclass: Pterygota (Winged Insects) Order: Hymenoptera (Ants, Bees, Wasps &amp; Sawflies) (Aculeata - Bees, Ants, &amp; other Stinging Wasps) (Anthophila (Apoidea) - Bees) Family: Apidae (Cuckoo, Carpenter, Digger, Bumble, &amp; Honey Bees) Subfamily: Apinae (Honey, Bumble, &amp; Digger Bees) Tribe: Bombini (Bumble Bees) Genus: <i>Bombus</i> (Bumble Bees) Species: <i>californicus</i> (<i>Bombus californicus</i>; <i>Bombus fervidus</i>)"
n02206856_1111.JPEG,n02206856_1111,n02206856,bee,ant_bee,1,1,Curious bee,bee|bees|insect|macro|bug,5,Found this bee on my door when i was going out today and decided to put my macro lens to good use.
n02206856_1114.JPEG,n02206856_1114,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1115.JPEG,n02206856_1115,n02206856,bee,ant_bee,0,1,,,0,
n02206856_1116.JPEG,n02206856_1116,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1126.JPEG,n02206856_1126,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1131.JPEG,n02206856_1131,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1136.JPEG,n02206856_1136,n02206856,bee,ant_bee,1,1,humble-bee at work #2,bees|humblebees|macro|nature|insects|purple|flower|summer,8,
n02206856_1139.JPEG,n02206856_1139,n02206856,bee,ant_bee,1,1,Saguaro Blossoms and bee Macros_23,Saguaro|'Saguaro Blossoms'|Arizona|flowers|insects|bees|Macro,7,
n02206856_1145.JPEG,n02206856_1145,n02206856,bee,ant_bee,0,0,,,0,
n02206856_1151.JPEG,n02206856_1151,n02206856,bee,ant_bee,1,1,Bee Sphecodes sp #2,macro|bug|insect|bee|Sphecodes,5,Certainly making a mess of itself- about 12mm long. Looks more like wasp than a bee
n02206856_1152.JPEG,n02206856_1152,n02206856,bee,ant_bee,0,1,,,0,
n02206856_1154.JPEG,n02206856_1154,n02206856,bee,ant_bee,0,1,,,0,
