image,stem,wnid,class,pair,has_caption,has_bbox,title,tags,n_tags,description
n07718472_1000.JPEG,n07718472_1000,n07718472,cucumber,cucumber_zucchini,1,0,Half sour dill pickles,pickles|cucumbers|vegetables|cooking,4,
n07718472_1001.JPEG,n07718472_1001,n07718472,cucumber,cucumber_zucchini,1,0,prawn salad,food styling|melina hammer|prop styling|summer|salad|fun|bright|pastel|pink|green|yellow|white|crisp|juicy|crunchy|from the garden|alive|fresh|prawns|shrimp|plump|vegetables|dill|radishes|cucumber|lemon|viniagrette,27,"back from my travels, here is the first from the work created while away. more to come soon!  EXPLORE ~ 12 July 2008"
n07718472_1002.JPEG,n07718472_1002,n07718472,cucumber,cucumber_zucchini,0,0,,,0,
n07718472_10050.JPEG,n07718472_10050,n07718472,cucumber,cucumber_zucchini,0,0,,,0,
n07718472_1006.JPEG,n07718472_1006,n07718472,cucumber,cucumber_zucchini,1,1,"8/6/08: Another Cuke, More Tomatoes 100_0167",cucumber|tomato|heirloom|vegetable|garden|balcony|brooklyn|new|york|city|organic|local|produce,13,"The cucumbers are ripening fast and furious now, and a whole bunch more flowers have started to bloom...soon it might be time for a cucumber salad! "
n07718472_10107.JPEG,n07718472_10107,n07718472,cucumber,cucumber_zucchini,1,1,Turn that Frown Sideways,garden|green|vegetables|escondido|california|san diego|planters|cucumbers,8,
n07718472_10155.JPEG,n07718472_10155,n07718472,cucumber,cucumber_zucchini,0,0,,,0,
n07718472_10198.JPEG,n07718472_10198,n07718472,cucumber,cucumber_zucchini,0,0,,,0,
n07718472_1022.JPEG,n07718472_1022,n07718472,cucumber,cucumber_zucchini,0,1,,,0,
n07718472_10238.JPEG,n07718472_10238,n07718472,cucumber,cucumber_zucchini,1,0,after,fabricaimago|boondock photography|nikon d70s|12-24mm|from the vegetable garden|cucumbers|tomatoes|green|yellow,9,"armenian cucumber (snake melon) cream sausage tomato  The sungolds didn't make it to the plate, 11 year old son ate them."
n07718472_1027.JPEG,n07718472_1027,n07718472,cucumber,cucumber_zucchini,1,0,Downtown Market (5),Downtown|Tampa|Market|Farmer's|Lykes|Gaslight|Square|Vender|Festival|Flowers|Fruits|Food|Veg|Vegetables|cucumbers|tomatoes|peppers,17,
