image,stem,wnid,class,pair,has_caption,has_bbox,title,tags,n_tags,description
n03345487_10.JPEG,n03345487_10,n03345487,firetruck,ambulance_firetruck,1,0,Fire Trucks at Fire Festival,Seattle|Pioneer Square|fire truck,3,
n03345487_10066.JPEG,n03345487_10066,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10089.JPEG,n03345487_10089,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10112.JPEG,n03345487_10112,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10133.JPEG,n03345487_10133,n03345487,firetruck,ambulance_firetruck,1,0,Old fire trucks,autosalon genf|autosalon|genf|geneve|geneva|salon de l'auto|vintage|old|fire|trucks|fire trucks|classic,12,
n03345487_1016.JPEG,n03345487_1016,n03345487,firetruck,ambulance_firetruck,1,0,West Valley Fire Truck,Fire Truck|West Valley|Utah,3,A ladder truck called out for a house fire in West Valley City
n03345487_10193.JPEG,n03345487_10193,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10194.JPEG,n03345487_10194,n03345487,firetruck,ambulance_firetruck,1,0,Hook n' Ladder Fire Truck,nj|fire|truck|firetruck|hook|ladder|atlantic|city|atlantic city,9,
n03345487_10205.JPEG,n03345487_10205,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_10222.JPEG,n03345487_10222,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10232.JPEG,n03345487_10232,n03345487,firetruck,ambulance_firetruck,1,1,Fire_Truck_2,id|iit|institute|design|fire|study|disruption|worst|possible|moment,10,So it's one of the last Sunday's of the semester and what better to interrupt working than some smoke and a billion fire trucks.
n03345487_1028.JPEG,n03345487_1028,n03345487,firetruck,ambulance_firetruck,1,1,Old Fire Truck,San Francisco|California|カリフォルニア|サンフランシスコ|parade|パレード|Japantown|日本町|fire truck|消防車,10,A really old fire truck. At the Cherry Blossom Festival Grand Parade in Japan Town in San Francisco.
n03345487_10295.JPEG,n03345487_10295,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_1031.JPEG,n03345487_1031,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10312.JPEG,n03345487_10312,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_10313.JPEG,n03345487_10313,n03345487,firetruck,ambulance_firetruck,1,1,Plattsmouth Fire Truck,Plattsmouth|Fire|Truck,3,
n03345487_10319.JPEG,n03345487_10319,n03345487,firetruck,ambulance_firetruck,1,0,fire engine parade 16-SEP-2007 (61),"fire truck|fire fighters|firemen|parade|west haven|west haven, CT|fire rescue",7,
n03345487_10334.JPEG,n03345487_10334,n03345487,firetruck,ambulance_firetruck,1,0,"Fire Engine, Victory Boulevard.",Fire|engine|truck|police|ambulance|EMS|fires|emergency|services|trouble|Pierce|College|Victory|Boulevard|Winnetka|SFV,16,
n03345487_10356.JPEG,n03345487_10356,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10367.JPEG,n03345487_10367,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_10382.JPEG,n03345487_10382,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10383.JPEG,n03345487_10383,n03345487,firetruck,ambulance_firetruck,1,1,Fire truck,fire|truck|Warner Robins|Georgia|USA|red,6,"Warner Robins GA, USA"
n03345487_10408.JPEG,n03345487_10408,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10423.JPEG,n03345487_10423,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10424.JPEG,n03345487_10424,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10437.JPEG,n03345487_10437,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10438.JPEG,n03345487_10438,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_10465.JPEG,n03345487_10465,n03345487,firetruck,ambulance_firetruck,1,0,Training Field Fire Trucks-,Fire|Trucks|ECVFD,3,
n03345487_10469.JPEG,n03345487_10469,n03345487,firetruck,ambulance_firetruck,1,0,Fire truck #2,windy ridge fire|fire|fire truck|ocfa|anaheim hills,5,Three fire trucks came flying by in quick succession.  This is the second. Taken from Anaheim Hills Elementary School.
n03345487_10511.JPEG,n03345487_10511,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_10527.JPEG,n03345487_10527,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10557.JPEG,n03345487_10557,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_1060.JPEG,n03345487_1060,n03345487,firetruck,ambulance_firetruck,1,0,Engine 9 - Chinatown,fdny|ems|truck|rescue|engine|fire|department|new|york,9,"Fire call, Mulberry Street between Grand and Broome"
n03345487_10610.JPEG,n03345487_10610,n03345487,firetruck,ambulance_firetruck,1,1,Fire Truck,Fire|Truck|New|ECVFD|Pierce,5,New Fire Truck 
n03345487_10623.JPEG,n03345487_10623,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10630.JPEG,n03345487_10630,n03345487,firetruck,ambulance_firetruck,1,1,Fire Truck,detroit|fire truck|financial district|urban,4,"A fire truck in Detroit's financial district.  I'm not sure what was going on, but there were police and firemen all over."
n03345487_10694.JPEG,n03345487_10694,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10697.JPEG,n03345487_10697,n03345487,firetruck,ambulance_firetruck,1,1,fire truck ladder,ConEd|Broadway|SoHo|Manhattan|fire|smoke|Gothamist,7,fire truck ladder
n03345487_10709.JPEG,n03345487_10709,n03345487,firetruck,ambulance_firetruck,1,1,Daly City Fire Department Truck 95,daly city|fire|department|truck|95|pierce|ladder,7,
n03345487_10710.JPEG,n03345487_10710,n03345487,firetruck,ambulance_firetruck,1,0,03-29-2008 {Fire Truck},parade|St. Urho's Day|fire truck,3,What parade doesn't have a fire truck?
n03345487_10751.JPEG,n03345487_10751,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10798.JPEG,n03345487_10798,n03345487,firetruck,ambulance_firetruck,1,1,"FDNY Buildings Unit Fire Truck, Hell's Kitchen, New York City",New York|NY|NYC|City|Manhattan|Department|F.D.N.Y.|Fire|Firefighters|Truck|Bravest|Midtown|Firehouse|Hell's Kitchen|Buildings|Unit|Empire|State|Building|Vehicle|Transportation|Automobile|Car|Y2008|jag9889|2008,26,"West 38th Street, Manhattan NYC"
n03345487_108.JPEG,n03345487_108,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10800.JPEG,n03345487_10800,n03345487,firetruck,ambulance_firetruck,1,0,Fire Truck Ride,caribbean gardens|ride|kids|fire truck,4,"The Caribbean Gardens sit next door to my work and during the school holidays, they do extra stuff for the kiddies that come. Wednesday morning, we were wondering what the horrific event was that required the continuous stream of emergency vehicles. Then I saw this when I went to the market at lunch time. Mystery solved, but I was annoyed that we were without a clue for so long."
n03345487_1082.JPEG,n03345487_1082,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_10839.JPEG,n03345487_10839,n03345487,firetruck,ambulance_firetruck,1,1,fire truck,fire|truck|ladder|sky|munhall,5,Fire truck ladder 
n03345487_10842.JPEG,n03345487_10842,n03345487,firetruck,ambulance_firetruck,1,1,Fire Truck,safd|fire truck|transportation|vehicle,4,
n03345487_10855.JPEG,n03345487_10855,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10894.JPEG,n03345487_10894,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10910.JPEG,n03345487_10910,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10921.JPEG,n03345487_10921,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10922.JPEG,n03345487_10922,n03345487,firetruck,ambulance_firetruck,1,0,Fire Truck,Fire Truck|Cumbres & Toltec|Chama|New Mexico|Snow|FD,6,"Old Red has a fresh coat, kept cool by the latest snow.  Parked in the yard at the Chama Station."
n03345487_10953.JPEG,n03345487_10953,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_10968.JPEG,n03345487_10968,n03345487,firetruck,ambulance_firetruck,1,0,fire truck.,charleston|south carolina|fire truck|red,4,
n03345487_10985.JPEG,n03345487_10985,n03345487,firetruck,ambulance_firetruck,1,1,Fire Truck,June|2007|Springfield|ChiefsShow|firetruck|fire|truck,7,
n03345487_11006.JPEG,n03345487_11006,n03345487,firetruck,ambulance_firetruck,1,1,Pierce Aerial Ladder Fire Truck - Paramedic,fire|truck|paramedic|accident|response|palm springs|pierce|ladder,8,"Paramedics responding to aid a fallen bicycle rider. Pierce truck. Palm Springs, California."
n03345487_11016.JPEG,n03345487_11016,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11017.JPEG,n03345487_11017,n03345487,firetruck,ambulance_firetruck,1,0,trucks,fire|truck|firetrucks,3,fire truck firetrucks fire pole 
n03345487_11036.JPEG,n03345487_11036,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11037.JPEG,n03345487_11037,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_11043.JPEG,n03345487_11043,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11047.JPEG,n03345487_11047,n03345487,firetruck,ambulance_firetruck,1,1,Crosley Fire Truck (sort of),SRPMIC|cars|vintage|carshow|Arizona|Crosley|Crosley Fire Truck|Fire Truck|Canon|Go|Powershot|CanonG9|G9,13,"At the Saturday night car show, about a mile from my house."
n03345487_11072.JPEG,n03345487_11072,n03345487,firetruck,ambulance_firetruck,1,1,Old Bowie Seagrave Fire Truck,Fire Station|Fire truck,2,
n03345487_11076.JPEG,n03345487_11076,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11088.JPEG,n03345487_11088,n03345487,firetruck,ambulance_firetruck,1,0,Fire Truck,fire truck|bay city michigan,2,
n03345487_11093.JPEG,n03345487_11093,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_111.JPEG,n03345487_111,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_1112.JPEG,n03345487_1112,n03345487,firetruck,ambulance_firetruck,1,1,New Bedford Fire Engine on the highway,driveby|in the car|on the road|New Bedford|Massachusetts|fire engine|fire truck|hook and ladder|faux lomo|fake lomo|lomo effect|lomolike|vignetted,13,
n03345487_11153.JPEG,n03345487_11153,n03345487,firetruck,ambulance_firetruck,1,0,A Fire Truck Stuck in NYC Traffic,NY|New York|1st Ave|Fire Truck|Traffic Jam|Traffic,6,Why do they even bother?
n03345487_11157.JPEG,n03345487_11157,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11179.JPEG,n03345487_11179,n03345487,firetruck,ambulance_firetruck,1,1,Fire Trucks,sandiego|firetruck|fireengine|fire|firedept|federalfire|international|navistar|brushtruck|SDFD,10,"Two International fire trucks, the red one of San Diego Fire Dept. and the green one of Federal Fire."
n03345487_11189.JPEG,n03345487_11189,n03345487,firetruck,ambulance_firetruck,1,1,"Norco Fire Truck June 17, 2008 013",Norco Fire Truck June 17,1,
n03345487_11190.JPEG,n03345487_11190,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11192.JPEG,n03345487_11192,n03345487,firetruck,ambulance_firetruck,1,1,fire truck,apartment|am I a photojournalist yet?|fire|fire-fighters|The Leeward / Windward Apartments|Webster|Texas|Houston|fire truck,9,
n03345487_11214.JPEG,n03345487_11214,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_11218.JPEG,n03345487_11218,n03345487,firetruck,ambulance_firetruck,1,0,SAN FRANCISCO fire department truck front,firemen|fire department|san francisco|:san|francisco|fire|department|firetruck  red engine,8,"SAN FRANCISCO FIRE DEPARTMENT fire truck views...sorry, the hunky firemen were not up to getting their photos taken..."
n03345487_11234.JPEG,n03345487_11234,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11246.JPEG,n03345487_11246,n03345487,firetruck,ambulance_firetruck,1,0,fire truck,firetruck|fire|truck|red|lights|emergency,6,"dad's fire department's new $175,000 truck"
n03345487_11250.JPEG,n03345487_11250,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11257.JPEG,n03345487_11257,n03345487,firetruck,ambulance_firetruck,1,0,fire truck in kosovo,kosovo|gjilan|gnjilane|fire truck,4,
n03345487_11261.JPEG,n03345487_11261,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11265.JPEG,n03345487_11265,n03345487,firetruck,ambulance_firetruck,1,0,Old Fire Trucks 10,Old|Fire|Trucks,3,"Old fire trucks, 6 wheeled rangerover with front mounted pump at Steam Rally"
n03345487_11289.JPEG,n03345487_11289,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11290.JPEG,n03345487_11290,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11294.JPEG,n03345487_11294,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_1130.JPEG,n03345487_1130,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11301.JPEG,n03345487_11301,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_11326.JPEG,n03345487_11326,n03345487,firetruck,ambulance_firetruck,1,1,Fire Truck,fire|truck|firetruck,3,This was when i was coming out of the  Grocery store.  This and another fire truck/ EMS truck in front of it.
n03345487_11332.JPEG,n03345487_11332,n03345487,firetruck,ambulance_firetruck,1,0,Fire Truck rushing to Grass Fire,Fire|Truck,2,Here's the fire truck rushing to put out the grass fire. 
n03345487_11337.JPEG,n03345487_11337,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11358.JPEG,n03345487_11358,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11366.JPEG,n03345487_11366,n03345487,firetruck,ambulance_firetruck,1,0,so that's how they jump a fire truck,california|balboa island|fire truck|red|newport beach|transformer,6,not an easy task
n03345487_11367.JPEG,n03345487_11367,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_1137.JPEG,n03345487_1137,n03345487,firetruck,ambulance_firetruck,1,0,Fire Truck,Tokyo|Tokyo Japan|Scenes|City|Urban|Cosmopolitan|Daytime|April|2008|Christian Lau|Shinagawa|Osaki|Roppongi|Minato|Roppongi Hills|Gotanda|Prefecture|Metropolitan|Tokyo Metropolitan Area|Tokyo Midtown|Fire Truck|Emergency Vehicle|Fire Department|Fireman|Firemen|Isuzu|Japanese Vehicle,27,"Tokyo, Japan - 4.23.2008"
n03345487_1138.JPEG,n03345487_1138,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11407.JPEG,n03345487_11407,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_11414.JPEG,n03345487_11414,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11416.JPEG,n03345487_11416,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_1142.JPEG,n03345487_1142,n03345487,firetruck,ambulance_firetruck,1,0,FIRE TRUCK,FIRE|TRUCKS,2,The gleaming wheel hub on a fire truck reflects on its neighbor. Volunteer fire departments have much fancier rigs than most city fire services.
n03345487_11448.JPEG,n03345487_11448,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_1145.JPEG,n03345487_1145,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11457.JPEG,n03345487_11457,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11468.JPEG,n03345487_11468,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_1147.JPEG,n03345487_1147,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_11483.JPEG,n03345487_11483,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11493.JPEG,n03345487_11493,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11498.JPEG,n03345487_11498,n03345487,firetruck,ambulance_firetruck,1,1,Rear View of a Hook and Ladder Fire Truck,atlantic city|fire|truck|new jersey|nj|shore|jersey|jersey shore|summer|2006|atlantic|city|new,13,
n03345487_11512.JPEG,n03345487_11512,n03345487,firetruck,ambulance_firetruck,1,1,Boston-Fire,boston|fire|truck|motion,4,Snapped this in downtown boston as the fire truck was turning at an intersection.
n03345487_11519.JPEG,n03345487_11519,n03345487,firetruck,ambulance_firetruck,1,0,Christmas Fire Truck,christmas|fire|truck|christmas lights,4,
n03345487_11543.JPEG,n03345487_11543,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11546.JPEG,n03345487_11546,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11563.JPEG,n03345487_11563,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11569.JPEG,n03345487_11569,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11592.JPEG,n03345487_11592,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_116.JPEG,n03345487_116,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11601.JPEG,n03345487_11601,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11609.JPEG,n03345487_11609,n03345487,firetruck,ambulance_firetruck,1,1,Little Italy - Petite Italie - Fire Trucks - Camions de Pompiers,Canada|Quebec|Québec|Montreal|Montréal|Petite Italie|Little Italy|Photo Safari Montreal|fire trucks|camions de pompiers|cars|trucks|voitures|camions|tasmanian devil|Taz|psm240906|PSM|Kakadoo|photosafarimtl,20,"Dimanche dernier, j'ai participé à mon deuxième Photo Safari Montréal, dans la Petite Italie (je m'y suis donc rendu à pied!). Le Marché Jean-Talon était en vedette, mais aussi les rues et parcs autour. Je suis passé par des rues que je n'avais jamais visités avant et d'autres, comme la Rue St-Hubert, que je connaissais déjà. Visitez le groupe officiel <a href=""http://www.flickr.com/groups/photosafarimtl/"">ici</a> pour les photos des autres participants. Vous trouverez aussi dans la section de discussions les détails des prochaines rencontres, donc si vous êtes dans le coin, vous pouvez vous joindre à nous!  Last Sunday, I participated in my second Photo Safari Montreal, in Little Italy (so I was able to walk there!). Go <a href=""http://www.flickr.com/groups/photosafarimtl/"">here</a> for more pictures from the other participants and for details on how to join if are interested to do so."
n03345487_1161.JPEG,n03345487_1161,n03345487,firetruck,ambulance_firetruck,1,0,Fire Truck Pierce E-68,fire|truck|firetruck|washington|pierce|getchell,6,"Getchell Fire from Snohomish County, WA. In Temecula, CA Fire Station #84 during the San Diego, CA wildfires."
n03345487_11628.JPEG,n03345487_11628,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_1164.JPEG,n03345487_1164,n03345487,firetruck,ambulance_firetruck,1,1,Fire-engine,DordtinStoom|Dordrecht|fire-engine|red|The Challenge Game,5,op de Wolweverskade tijdens Dordt in Stoom....  
n03345487_11662.JPEG,n03345487_11662,n03345487,firetruck,ambulance_firetruck,1,1,Fire Truck Seagrave,fire|truck|emergency|vintaqge|antique,5,"La Verne, California Show."
n03345487_11667.JPEG,n03345487_11667,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11669.JPEG,n03345487_11669,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11679.JPEG,n03345487_11679,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_1168.JPEG,n03345487_1168,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11680.JPEG,n03345487_11680,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11685.JPEG,n03345487_11685,n03345487,firetruck,ambulance_firetruck,1,1,English style fire truck!,London|fire truck,2,"Fire alarm went off at 8.30am on Saturday. Fortunately, Mom and I were up. "
n03345487_11691.JPEG,n03345487_11691,n03345487,firetruck,ambulance_firetruck,1,0,Old Fire Trucks 05,Old|Fire|Trucks,3,Line up off old fire trucks at Steam Rally
n03345487_11692.JPEG,n03345487_11692,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11706.JPEG,n03345487_11706,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_11712.JPEG,n03345487_11712,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11722.JPEG,n03345487_11722,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11739.JPEG,n03345487_11739,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_1175.JPEG,n03345487_1175,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11752.JPEG,n03345487_11752,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11759.JPEG,n03345487_11759,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11773.JPEG,n03345487_11773,n03345487,firetruck,ambulance_firetruck,1,1,Firemen & Fire Truck,fire|truck|firemen|fireman|firetruck|interesting,6,"Firemen and Firetruck after a call, Hamilton, Ontario"
n03345487_11805.JPEG,n03345487_11805,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11839.JPEG,n03345487_11839,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11857.JPEG,n03345487_11857,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11865.JPEG,n03345487_11865,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11866.JPEG,n03345487_11866,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11883.JPEG,n03345487_11883,n03345487,firetruck,ambulance_firetruck,1,0,Plattsmouth Fire Truck,Plattsmouth|Fire|Truck,3,
n03345487_11885.JPEG,n03345487_11885,n03345487,firetruck,ambulance_firetruck,1,0,Matt and the big red shiny mack fire engine,fire truck|fire engine|san fran|san francisco|golden gate bridge|USA|Amercia|States|United|America|holiday|couple|honeymoon|vacation|hawaiian|hawaiian islands|islands|sun|sea|sand|heatherjlucas,21,
n03345487_11889.JPEG,n03345487_11889,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11890.JPEG,n03345487_11890,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_11901.JPEG,n03345487_11901,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11903.JPEG,n03345487_11903,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11906.JPEG,n03345487_11906,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11909.JPEG,n03345487_11909,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11917.JPEG,n03345487_11917,n03345487,firetruck,ambulance_firetruck,1,1,Fire truck 2,2007|rochester|kodak|building 9|rust belt|urban decay|implosion|fire truck,8,Then it moved into an even worse spot
n03345487_11918.JPEG,n03345487_11918,n03345487,firetruck,ambulance_firetruck,1,0,ttv-anamoose fire truck,ttv|ttvf|viewfinder|kodak duaflex old|fire|truck,6,anamoose fire dept
n03345487_11923.JPEG,n03345487_11923,n03345487,firetruck,ambulance_firetruck,1,0,ttv-anamoose fire truck,ttv|ttvf|viewfinder|kodak duaflex old|fire|truck,6,anamoose fire dept
n03345487_11931.JPEG,n03345487_11931,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11940.JPEG,n03345487_11940,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11949.JPEG,n03345487_11949,n03345487,firetruck,ambulance_firetruck,1,1,Fire rescue truck,Fire/rescue|truck|rescue|Warner Robins|GA|USA|red,7,"Warner Robins, GA USA"
n03345487_1195.JPEG,n03345487_1195,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_11951.JPEG,n03345487_11951,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11954.JPEG,n03345487_11954,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11972.JPEG,n03345487_11972,n03345487,firetruck,ambulance_firetruck,0,0,,,0,
n03345487_11989.JPEG,n03345487_11989,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
n03345487_11991.JPEG,n03345487_11991,n03345487,firetruck,ambulance_firetruck,1,1,Monrovia Fire Department - Ready to Serve,Monrovia|Fire Department|Battalion 1|Fire Truck 101|California|Sepia Monrovia CA,6,"The Monrovia Fire Deptartment, Always ready to serve.  Battalion 10, with Fire Truck #101.  I have given the shot poster edges and replaced the color with a sepia tone."
n03345487_12001.JPEG,n03345487_12001,n03345487,firetruck,ambulance_firetruck,1,0,Fire Truck,fire|truck|snow|b&w|black and white,5,There was a gas leak on campus a while ago
n03345487_12002.JPEG,n03345487_12002,n03345487,firetruck,ambulance_firetruck,1,1,Downers Grove July 4 Parade - Westmont Fire Department Special Operations Truck,westmont|red|fire|truck|downers|grove|downersgrove|July4|july4th|mainstreet|parade|2008|July|4th|image|photo|independenceday|independence|day|illinois|dupage|usa|white|department|fire department|il|special|operations|Attribution-NonCommercial-ShareAlike|Creative Commons,30,
n03345487_12006.JPEG,n03345487_12006,n03345487,firetruck,ambulance_firetruck,0,1,,,0,
