image,stem,wnid,class,pair,has_caption,has_bbox,title,tags,n_tags,description
n07590611_1.JPEG,n07590611_1,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_10019.JPEG,n07590611_10019,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_10068.JPEG,n07590611_10068,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_10109.JPEG,n07590611_10109,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_1011.JPEG,n07590611_1011,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_10126.JPEG,n07590611_10126,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_10139.JPEG,n07590611_10139,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_1014.JPEG,n07590611_1014,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_10158.JPEG,n07590611_10158,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_1016.JPEG,n07590611_1016,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_10194.JPEG,n07590611_10194,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_10233.JPEG,n07590611_10233,n07590611,hotpot,hotpot_vase,1,1,Korean Food,food|hot pot|korean food|soup|spicy,5,"Last meal in Tianjin,yum yum"
n07590611_10262.JPEG,n07590611_10262,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_10268.JPEG,n07590611_10268,n07590611,hotpot,hotpot_vase,1,1,hot pot 3,hot|pot,2,
n07590611_10299.JPEG,n07590611_10299,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_1031.JPEG,n07590611_1031,n07590611,hotpot,hotpot_vase,1,1,hotpot at table,hotpot|steamboat|winter foods|communal eating|1hotpot,5,
n07590611_10312.JPEG,n07590611_10312,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_10336.JPEG,n07590611_10336,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_10340.JPEG,n07590611_10340,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_10341.JPEG,n07590611_10341,n07590611,hotpot,hotpot_vase,1,1,Hotpot,,0,"It is this spicy boiling oil, you drop food into to cook"
n07590611_1038.JPEG,n07590611_1038,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_1042.JPEG,n07590611_1042,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_10453.JPEG,n07590611_10453,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_10455.JPEG,n07590611_10455,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_10471.JPEG,n07590611_10471,n07590611,hotpot,hotpot_vase,1,1,The hot pot,hot pot|dinner,2,A simmering pot of amazing sea food and veggies.
n07590611_10504.JPEG,n07590611_10504,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_10516.JPEG,n07590611_10516,n07590611,hotpot,hotpot_vase,1,1,Chigenabe,food|dinner|nabe|hotpot|chige|chigenabe|japanesefood,7,"Chigenabe, a Korean style hotpot. Explained here: <a href=""http://blue_moon.typepad.com/blue_lotus/2006/01/today_was_the_d.html"" rel=""noreferrer nofollow"">Blue Lotus</a>"
n07590611_10531.JPEG,n07590611_10531,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_1055.JPEG,n07590611_1055,n07590611,hotpot,hotpot_vase,1,1,Lamb hotpot,Maze|Maze Restaurant|Restaurant|Food|Jason Atherton|Gordon Ramsey|Lamb|Gourmet|Cameraphone|Hotpot|Carrot|Onion|Geotagged|Digital|Colour|10-13 Grosvenor Square|Grosvenor Square|London|W1K|W1K 6JP,20,"<strong>Location</strong>: Maze Restaurant, 10-13 Grosvenor Square, London W1K 6JP  This one was the best."
n07590611_10558.JPEG,n07590611_10558,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_10571.JPEG,n07590611_10571,n07590611,hotpot,hotpot_vase,1,1,The Spread,fellowship|dinner|hot|pot|fpcla,5,Fellowship Dinner. Hot Pot Night.
n07590611_10580.JPEG,n07590611_10580,n07590611,hotpot,hotpot_vase,1,1,hotpot7,britishcolumbia|canada|deanara|food|chef|chef dean|asian|hot pot|basement,9,Chinese hot pot
n07590611_1061.JPEG,n07590611_1061,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_10633.JPEG,n07590611_10633,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_1064.JPEG,n07590611_1064,n07590611,hotpot,hotpot_vase,1,1,一品花雕雞  花雕咕骨雞完工 Special Chicken Hotpot,花雕雞|一品花雕雞|美食|food|火鍋|hotpot,6,
n07590611_10657.JPEG,n07590611_10657,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_10669.JPEG,n07590611_10669,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_1067.JPEG,n07590611_1067,n07590611,hotpot,hotpot_vase,1,1,Double hotpot,tripod king|Double hotpot|鼎王|鴛鴦,4,鼎王鴛鴦
n07590611_10679.JPEG,n07590611_10679,n07590611,hotpot,hotpot_vase,1,1,Hotpot,Shanghai|China|food|hotpot|meat|beef|flickrskin=shanghaieats,7,"Our soup was chock full of good stuff. We ordered a broth with veggies, corn, carrots, mushrooms and jujubes. It was a lovely base in which to toss tender little fishballs and delicate slices of beef...  <a href=""http://www.flickr.com/photos/annamatic3000/sets/72157617739031621/"">Shanghai 2009</a> "
n07590611_10684.JPEG,n07590611_10684,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_10697.JPEG,n07590611_10697,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_10705.JPEG,n07590611_10705,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_10713.JPEG,n07590611_10713,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_10731.JPEG,n07590611_10731,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_10763.JPEG,n07590611_10763,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_10765.JPEG,n07590611_10765,n07590611,hotpot,hotpot_vase,1,1,Hot Pot,Montreal|Quebec|Little Sheep Hot Pot,3,
n07590611_10775.JPEG,n07590611_10775,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_10786.JPEG,n07590611_10786,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_10787.JPEG,n07590611_10787,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_10813.JPEG,n07590611_10813,n07590611,hotpot,hotpot_vase,1,1,Herbal Lamb Hotpot incl Angelica and Goji Berries - Vegie Valley,Vegie Valley Vegetarian Restaurant|vegetarian|Chinese|food|hotpot|lamb|当归|杞子angelica|gojiberry,9,"Herbal Lamb Hotpot incl Angelica and Goji Berries - Vegie Valley AUD15.90  A surprisingly good dish of herbs, including 当归 angelica and 杞子 gojiberry. The texture of the &quot;lamb&quot; was very good. I think it was baked gluten nuggets. --- Another visit on a busy Friday night in Glen Waverley. The food is good, but the car parking situation outside is less than satisfactory! I think I'll try to avoid Friday night dinners in the area.  Vegie Valley Vegetarian Restaurant 193 Coleman Pde Glen Waverley 3150 (03) 9560 9868  Photos: - <a href=""/photos/avlxyz/2597704326/"" rel=""noreferrer nofollow"">Assam Fish</a> - <a href=""/photos/avlxyz/2596874643/"" rel=""noreferrer nofollow"">Hakka Pork Hotpot with Taro and Preserved Mustard Greens</a> - <a href=""/photos/avlxyz/2597707210/"" rel=""noreferrer nofollow"">Herbal Lamb Hotpot with Angelica and Goji Berries</a> - <a href=""/photos/avlxyz/2597705568/"" rel=""noreferrer nofollow"">Seafood and Beancurd Hotpot</a> - <a href=""/photos/avlxyz/2597706562/"" rel=""noreferrer nofollow"">Stir-fried Mixed Vegies</a> - <a href=""/photos/avlxyz/2596872969/"" rel=""noreferrer nofollow"">Sweet and Sour Chicken</a> - <a href=""/photos/avlxyz/2596871957/"" rel=""noreferrer nofollow"">Taro Basket with Stir-Fried Combination</a> "
n07590611_1083.JPEG,n07590611_1083,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_10848.JPEG,n07590611_10848,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_10901.JPEG,n07590611_10901,n07590611,hotpot,hotpot_vase,1,1,IMG_1998.jpg,Hotpot|2007|Chinese food|Pacific Eatery & Catering|Columbus|Ohio|Upper Arlington|50mm 1.8|EF 50mm f/1.8,9,"8 Treasures Tofu hot pot, Pacific Eatery &amp; Catering"
n07590611_10960.JPEG,n07590611_10960,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_10987.JPEG,n07590611_10987,n07590611,hotpot,hotpot_vase,1,1,Lunch at Mon Land Hot Pot City,California|Chinese Cuisine|Chinese Hot Pot|Mon Land Hot Pot City|Northern Chinese Cuisine|restaurant|San Gabriel|soup|USA,9,"Close-up of mild broth, which actually had a curry taste to it."
n07590611_11016.JPEG,n07590611_11016,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_1105.JPEG,n07590611_1105,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11071.JPEG,n07590611_11071,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_11089.JPEG,n07590611_11089,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_11092.JPEG,n07590611_11092,n07590611,hotpot,hotpot_vase,1,1,Hotpot IMG_0063,Chongqing|China|Yangtze|River|city|Hotpot|Spicy|Food,8,
n07590611_11102.JPEG,n07590611_11102,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11106.JPEG,n07590611_11106,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_11108.JPEG,n07590611_11108,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11113.JPEG,n07590611_11113,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11129.JPEG,n07590611_11129,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_11131.JPEG,n07590611_11131,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_11132.JPEG,n07590611_11132,n07590611,hotpot,hotpot_vase,1,0,DER HOTPOT™,Chinaabend|Hotpot|Wii,3,"Das ist er. Er roch so originalgetreu und lecker. Aber wenn die CH eine Schärfeskala für Inlandesswaren hätte, wäre dieser Hotpot schon lange nicht mehr drauf.  Wir sind eben alles Käseweicheier."
n07590611_11137.JPEG,n07590611_11137,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_1116.JPEG,n07590611_1116,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_11208.JPEG,n07590611_11208,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_1121.JPEG,n07590611_1121,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_1124.JPEG,n07590611_1124,n07590611,hotpot,hotpot_vase,1,0,Fried fish head with bittermelon served in hotpot,Chinese Food|Bittermelon|Hotpot|Food,4,涼瓜魚頭煲
n07590611_11242.JPEG,n07590611_11242,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11245.JPEG,n07590611_11245,n07590611,hotpot,hotpot_vase,1,1,DSC04213,hot pot|chinese|food|retro|old|fun|eat|soup|asian|cuisine,10,our old school hot pot... 
n07590611_11249.JPEG,n07590611_11249,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_11251.JPEG,n07590611_11251,n07590611,hotpot,hotpot_vase,1,1,Nabeyaki Egg Noodles / Egg Noodles in (Hot) Pot,Nabeyaki Egg Noodles|noodles|food|yummy|Tainan|Taiwan|pot,7,加點辣椒粉更夠味~
n07590611_11258.JPEG,n07590611_11258,n07590611,hotpot,hotpot_vase,1,0,My Youngest Aunt's Husband's Cu Lao (Vietnamese Hot Pot) 1,Cu|Lao|Lau|Vietnamese|Hot|Pot|Seafood|Heart|Squid|Pork|Skin|Crab|Shrimp|Balls|Cabbage|Shiitake|Mushrooms|Wandering Chopsticks,18,"<a href=""http://wanderingchopsticks.blogspot.com/2009/11/ask-wandering-chopsticks-3.html"" rel=""noreferrer nofollow"">wanderingchopsticks.blogspot.com/2009/11/ask-wandering-ch...</a>"
n07590611_11275.JPEG,n07590611_11275,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11289.JPEG,n07590611_11289,n07590611,hotpot,hotpot_vase,1,1,Hotpot Japanese style,Hot|pot,2,Miso base hot pot
n07590611_11292.JPEG,n07590611_11292,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_11331.JPEG,n07590611_11331,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11344.JPEG,n07590611_11344,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_11345.JPEG,n07590611_11345,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11356.JPEG,n07590611_11356,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_11363.JPEG,n07590611_11363,n07590611,hotpot,hotpot_vase,1,1,Tom Khlong Hot Pot with crab - Ying Thai Richmond,Ying Thai|Thai|hotpot|crab|food,5,"Tom Khlong Hot Pot with crab - Ying Thai Richmond AUD15.90  Wonderful balance of hot, sour, sweet, but a bit on the salty side.  --- Ying Thai Richmond (03) 9419 1225 235 Victoria St Abbotsford VIC 3067"
n07590611_11374.JPEG,n07590611_11374,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11384.JPEG,n07590611_11384,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_11416.JPEG,n07590611_11416,n07590611,hotpot,hotpot_vase,1,1,Hot pot,China|Chengdu|hot pot,3,This was the best hot pot I have ever had.
n07590611_11441.JPEG,n07590611_11441,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11446.JPEG,n07590611_11446,n07590611,hotpot,hotpot_vase,1,1,hot pot mmm,hot pot|delicious|beef|tofu,4,
n07590611_11459.JPEG,n07590611_11459,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_11465.JPEG,n07590611_11465,n07590611,hotpot,hotpot_vase,1,1,Spicy Hot Pot @ Lu Gi Restaurant,,0,麻辣火鍋 Chinese Spicy Hot Pot (US$3.50/person for Soup Base)
n07590611_11501.JPEG,n07590611_11501,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_11504.JPEG,n07590611_11504,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11506.JPEG,n07590611_11506,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11531.JPEG,n07590611_11531,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11542.JPEG,n07590611_11542,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11549.JPEG,n07590611_11549,n07590611,hotpot,hotpot_vase,1,1,Shanghai Litte Sheep Hot Pot with Irene Simkin,China|Shanghai|Little Sheep|Restaurant|Hot Pot|Irene Simkin|Jones Yan,7,
n07590611_11550.JPEG,n07590611_11550,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11561.JPEG,n07590611_11561,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11597.JPEG,n07590611_11597,n07590611,hotpot,hotpot_vase,1,1,Chinese hot pot,cooking|recipes|food|Chinese|hot pot|world foodie guide,6,"<a href=""http://www.worldfoodieguide.com"" rel=""noreferrer nofollow"">www.worldfoodieguide.com</a>"
n07590611_11607.JPEG,n07590611_11607,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11613.JPEG,n07590611_11613,n07590611,hotpot,hotpot_vase,1,1,Hot Pot!,Food|Chinese Food|Hot Pot,3,
n07590611_11637.JPEG,n07590611_11637,n07590611,hotpot,hotpot_vase,1,0,Hot Pot,Chinese New Year|Fire Wok|Hot Pot,3,
n07590611_11639.JPEG,n07590611_11639,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11672.JPEG,n07590611_11672,n07590611,hotpot,hotpot_vase,1,1,Beef Hot Pot - Modern Toilet Restaurant Taipei (2),Modern|Toilet|Restaurant|便所主题餐厅|XimenDing|Taipei|Taiwan|hot|pot|beef,10,"Taken at Modern Toilet Restaurant (便所主题餐厅) - XimenDing Branch Taipei ADD: 2F., No.7, Lane 50, Sining S. Rd., Wanhua District, Taipei City  Modern Toilet Beef Hot Pot..the broth very tasty and with generous slices of beef."
n07590611_11680.JPEG,n07590611_11680,n07590611,hotpot,hotpot_vase,1,1,Shanghai Litte Sheep Hot Pot with Irene Simkin,China|Shanghai|Little Sheep|Restaurant|Hot Pot|Irene Simkin|Jones Yan,7,
n07590611_11704.JPEG,n07590611_11704,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_11748.JPEG,n07590611_11748,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11764.JPEG,n07590611_11764,n07590611,hotpot,hotpot_vase,1,1,Chicken hot pot,Japan|Kyoto|Fushimi|kura|Iatethis|chickenhotpot|nabe|yakitori|Japanesecuisine|Japanesefood|sweets,11,"Japanese love to cook hot pot ( nabe )in cold season.  We can eat a variety of different foods with only one hot pot. I really enjoyed this chicken hot pot even though I don't like chicken hot pot very much. This is smashing nabe,I will visit here again,definitely."
n07590611_11790.JPEG,n07590611_11790,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11792.JPEG,n07590611_11792,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11798.JPEG,n07590611_11798,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11804.JPEG,n07590611_11804,n07590611,hotpot,hotpot_vase,1,1,Anyone Hungry?,stew|campfire|pot holder|fire|hot|carrots|onions|meat|two|lid|canon|rebel|canon rebel|family reunion|dinner|r_naomi,16,
n07590611_11808.JPEG,n07590611_11808,n07590611,hotpot,hotpot_vase,0,0,,,0,
n07590611_11818.JPEG,n07590611_11818,n07590611,hotpot,hotpot_vase,0,1,,,0,
n07590611_11826.JPEG,n07590611_11826,n07590611,hotpot,hotpot_vase,0,0,,,0,
