image,stem,wnid,class,pair,has_caption,has_bbox,title,tags,n_tags,description
n04522168_1.JPEG,n04522168_1,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_100.JPEG,n04522168_100,n04522168,vase,hotpot_vase,0,1,,,0,
n04522168_10017.JPEG,n04522168_10017,n04522168,vase,hotpot_vase,0,1,,,0,
n04522168_10047.JPEG,n04522168_10047,n04522168,vase,hotpot_vase,1,1,Goguryeo Vase,vase|relic|goguryeo|seoul|korea|musuem|artifact|porcelain|I love my pic|GoldStarAward,10,A vase displayed at the National Museum of Korea.
n04522168_10058.JPEG,n04522168_10058,n04522168,vase,hotpot_vase,0,1,,,0,
n04522168_10087.JPEG,n04522168_10087,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10104.JPEG,n04522168_10104,n04522168,vase,hotpot_vase,0,1,,,0,
n04522168_10113.JPEG,n04522168_10113,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10115.JPEG,n04522168_10115,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10128.JPEG,n04522168_10128,n04522168,vase,hotpot_vase,0,1,,,0,
n04522168_10131.JPEG,n04522168_10131,n04522168,vase,hotpot_vase,0,1,,,0,
n04522168_10200.JPEG,n04522168_10200,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10215.JPEG,n04522168_10215,n04522168,vase,hotpot_vase,0,1,,,0,
n04522168_10222.JPEG,n04522168_10222,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10248.JPEG,n04522168_10248,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10260.JPEG,n04522168_10260,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10268.JPEG,n04522168_10268,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10278.JPEG,n04522168_10278,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10287.JPEG,n04522168_10287,n04522168,vase,hotpot_vase,1,1,vase in heaven,cebu|photography|club|vase|light|macro|strobbing|flower|vine|grape|cpc|ceramic|jar|container,14,
n04522168_1029.JPEG,n04522168_1029,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10310.JPEG,n04522168_10310,n04522168,vase,hotpot_vase,0,1,,,0,
n04522168_10343.JPEG,n04522168_10343,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10356.JPEG,n04522168_10356,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10392.JPEG,n04522168_10392,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10415.JPEG,n04522168_10415,n04522168,vase,hotpot_vase,0,1,,,0,
n04522168_1044.JPEG,n04522168_1044,n04522168,vase,hotpot_vase,0,1,,,0,
n04522168_10478.JPEG,n04522168_10478,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10509.JPEG,n04522168_10509,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10539.JPEG,n04522168_10539,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10548.JPEG,n04522168_10548,n04522168,vase,hotpot_vase,0,1,,,0,
n04522168_10592.JPEG,n04522168_10592,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10595.JPEG,n04522168_10595,n04522168,vase,hotpot_vase,0,1,,,0,
n04522168_10597.JPEG,n04522168_10597,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10603.JPEG,n04522168_10603,n04522168,vase,hotpot_vase,0,1,,,0,
n04522168_10628.JPEG,n04522168_10628,n04522168,vase,hotpot_vase,0,0,,,0,
n04522168_10639.JPEG,n04522168_10639,n04522168,vase,hotpot_vase,0,1,,,0,
n04522168_10660.JPEG,n04522168_10660,n04522168,vase,hotpot_vase,0,1,,,0,
n04522168_10683.JPEG,n04522168_10683,n04522168,vase,hotpot_vase,0,1,,,0,
n04522168_10712.JPEG,n04522168_10712,n04522168,vase,hotpot_vase,1,1,orchid in a jar,orchid|jar|pink|glass|on my kitchen table|old french milk bottle i use as a vase|ysplix,7,
n04522168_10718.JPEG,n04522168_10718,n04522168,vase,hotpot_vase,0,1,,,0,
n04522168_10729.JPEG,n04522168_10729,n04522168,vase,hotpot_vase,0,1,,,0,
