image,stem,wnid,class,pair,has_caption,has_bbox,title,tags,n_tags,description
n04536866_1000.JPEG,n04536866_1000,n04536866,violin,acousticguitar_violin,0,0,,,0,
n04536866_10016.JPEG,n04536866_10016,n04536866,violin,acousticguitar_violin,0,0,,,0,
n04536866_10060.JPEG,n04536866_10060,n04536866,violin,acousticguitar_violin,1,0,IMG_2515,orchestra|westwood|aisan|fun|play|instrument|violin|teacher|school|concert,10,
n04536866_10072.JPEG,n04536866_10072,n04536866,violin,acousticguitar_violin,0,0,,,0,
n04536866_10076.JPEG,n04536866_10076,n04536866,violin,acousticguitar_violin,0,0,,,0,
n04536866_10085.JPEG,n04536866_10085,n04536866,violin,acousticguitar_violin,0,0,,,0,
n04536866_10093.JPEG,n04536866_10093,n04536866,violin,acousticguitar_violin,1,0,My Violin,project365|project365-8|violin|photo a day|picture a day|one a day,6,"Made by Karl Muller of Bubenreuth, purchased from J.P. Guivier &amp; Co, London 20 something years ago."
n04536866_1010.JPEG,n04536866_1010,n04536866,violin,acousticguitar_violin,0,0,,,0,
n04536866_10120.JPEG,n04536866_10120,n04536866,violin,acousticguitar_violin,1,0,Hannah violin 2,hannah|violin|music|musician|strings|daughter|daughters|girl|girls,9,
n04536866_10128.JPEG,n04536866_10128,n04536866,violin,acousticguitar_violin,1,0,Violins at the Airport,airport|violin|performance|wellington,4,Violinists at Wellington Airport
n04536866_10133.JPEG,n04536866_10133,n04536866,violin,acousticguitar_violin,1,0,violin,cantata|church|choir|christmas|december|violin|candles,7,my violin
n04536866_10148.JPEG,n04536866_10148,n04536866,violin,acousticguitar_violin,0,1,,,0,
n04536866_10155.JPEG,n04536866_10155,n04536866,violin,acousticguitar_violin,1,1,with violin,,0,at great grandma's with my first musical instrument
n04536866_10171.JPEG,n04536866_10171,n04536866,violin,acousticguitar_violin,0,1,,,0,
n04536866_10177.JPEG,n04536866_10177,n04536866,violin,acousticguitar_violin,0,0,,,0,
n04536866_1018.JPEG,n04536866_1018,n04536866,violin,acousticguitar_violin,0,0,,,0,
n04536866_10185.JPEG,n04536866_10185,n04536866,violin,acousticguitar_violin,1,0,violin,violin,1,
n04536866_1019.JPEG,n04536866_1019,n04536866,violin,acousticguitar_violin,0,0,,,0,
n04536866_10191.JPEG,n04536866_10191,n04536866,violin,acousticguitar_violin,1,0,Street Violin,streetphotography|violin|street musician|Pittsburgh|musician,5,
n04536866_1020.JPEG,n04536866_1020,n04536866,violin,acousticguitar_violin,0,0,,,0,
n04536866_10214.JPEG,n04536866_10214,n04536866,violin,acousticguitar_violin,1,1,violin,bottlerocket princess|2008|garden session|france|poitiers|epileptic|recording|music|musicians|in the garden|instruments,11,
n04536866_10215.JPEG,n04536866_10215,n04536866,violin,acousticguitar_violin,1,1,IMG_6524 copy,suzuki concert music instruments violin flute piano audrey|favourites,2,
n04536866_10228.JPEG,n04536866_10228,n04536866,violin,acousticguitar_violin,0,0,,,0,
