image,stem,wnid,class,pair,has_caption,has_bbox,title,tags,n_tags,description
n07716358_10003.JPEG,n07716358_10003,n07716358,zucchini,cucumber_zucchini,1,1,Zucchini,Zucchini,1,
n07716358_10021.JPEG,n07716358_10021,n07716358,zucchini,cucumber_zucchini,1,1,Zucchini,food|zucchini|yum,3,"Sauteed zucchini with sweet &amp; sour glaze (1/3 cup white wine, touch of white wine vinegar, 1/3 cup sugar), fresh garlic and basil.  Salt the sliced zucchini and let sit for a few minutes.  Wipe off water that comes out of the salted zucchini.  Heat olive oil in a pan (medium high?), saute zucchini on both sides until golden brown.  Remove from pan and plate.  Top with some of the glaze (recipe above, combine all ingredients in a sauce pan and cook to reduce, stirring frequently), chopped fresh garlic and some fresh basil.    Sorry that the recipe is a little disorganized. It's simple enough.  Also, I think I got this from Mario Batalli."
n07716358_10032.JPEG,n07716358_10032,n07716358,zucchini,cucumber_zucchini,1,1,zucchini,vegies|garden|flower|zucchini|courgette|grow,6,
n07716358_1006.JPEG,n07716358_1006,n07716358,zucchini,cucumber_zucchini,1,1,The 3 guys ::: 2 of 3,behindtheshot|GIMP|vegetable|cookbook,4,"Here's the original shot.  I'm still shooting in Jpeg because I'm kind of scared of switching to RAW...I need to research some more.  The tray I'm using is the tray that I keep all of my coffee stuff on in the kitchen.  I wanted a darker, textured background to provide contrast with the light green color of the zucchini.  "
n07716358_10104.JPEG,n07716358_10104,n07716358,zucchini,cucumber_zucchini,0,0,,,0,
n07716358_1018.JPEG,n07716358_1018,n07716358,zucchini,cucumber_zucchini,1,1,Tuinbonen en courgette,beans|courgette|zucchini|garden,4,
n07716358_10200.JPEG,n07716358_10200,n07716358,zucchini,cucumber_zucchini,1,1,I am much smaller than this zucchini,vegetable|Phoebe Gould|zucchini|sydney|nsw|australia|baby|newborn,8,The one on the left grew in our vegetable patch in about a month.   The one on the right grew in Liz in about nine.
n07716358_10227.JPEG,n07716358_10227,n07716358,zucchini,cucumber_zucchini,1,1,Peppers and Zucchini,bell peppers|orange pepper|zucchini|orange|green|vegetables|veggies,7,Just before I mercilessly chopped and gutted them...
n07716358_10234.JPEG,n07716358_10234,n07716358,zucchini,cucumber_zucchini,0,0,,,0,
n07716358_10248.JPEG,n07716358_10248,n07716358,zucchini,cucumber_zucchini,0,0,,,0,
n07716358_10251.JPEG,n07716358_10251,n07716358,zucchini,cucumber_zucchini,0,1,,,0,
n07716358_10261.JPEG,n07716358_10261,n07716358,zucchini,cucumber_zucchini,1,0,Zucchini pasta with mushrooms and tomato sauce,food|zucchini|tomato|CSA|i made this|dinner,6,
n07716358_10266.JPEG,n07716358_10266,n07716358,zucchini,cucumber_zucchini,1,0,Zucchini Blossoms from talkoftomatoes.com,zucchini|squash|blossoms,3,"filled with cheese wrapped in bacon. <a href=""http://www.talkoftomatoes.com/2006/08/22/zucchini-blossoms/"" rel=""noreferrer nofollow"">www.talkoftomatoes.com/2006/08/22/zucchini-blossoms/</a>"
n07716358_10274.JPEG,n07716358_10274,n07716358,zucchini,cucumber_zucchini,0,1,,,0,
n07716358_10283.JPEG,n07716358_10283,n07716358,zucchini,cucumber_zucchini,1,1,Zucchini,zucchini|garden|vegetables,3,The first Zucchini picked from our garden.
n07716358_10297.JPEG,n07716358_10297,n07716358,zucchini,cucumber_zucchini,1,0,Spaghetti with Zucchini and Lemon,ShoZu|spaghetti|pecorino|zucchini|vegetarian|pasta|moosewood,7,Tossed with pecorino. Very good! Moosewood p195
n07716358_10301.JPEG,n07716358_10301,n07716358,zucchini,cucumber_zucchini,0,1,,,0,
