stem,cls,repeat,fold
n02676566_10012,acousticguitar,0,2
n02676566_10019,acousticguitar,0,1
n02676566_1002,acousticguitar,0,1
n02676566_10062,acousticguitar,0,1
n02676566_1007,acousticguitar,0,2
n02676566_1009,acousticguitar,0,1
n02676566_10102,acousticguitar,0,0
n02676566_10114,acousticguitar,0,4
n02676566_10140,acousticguitar,0,4
n02676566_10175,acousticguitar,0,1
n02676566_1020,acousticguitar,0,4
n02676566_103,acousticguitar,0,0
n02676566_1039,acousticguitar,0,2
n02676566_104,acousticguitar,0,3
n02676566_1044,acousticguitar,0,1
n02676566_1046,acousticguitar,0,3
n02676566_1049,acousticguitar,0,4
n02676566_105,acousticguitar,0,0
n02676566_1056,acousticguitar,0,4
n02676566_1057,acousticguitar,0,4
n02676566_1066,acousticguitar,0,4
n02676566_107,acousticguitar,0,1
n02676566_1073,acousticguitar,0,4
n02676566_1074,acousticguitar,0,3
n02676566_10753,acousticguitar,0,4
n02676566_1076,acousticguitar,0,0
n02676566_108,acousticguitar,0,4
n02676566_1084,acousticguitar,0,4
n02676566_1087,acousticguitar,0,4
n02676566_1096,acousticguitar,0,0
n02676566_1097,acousticguitar,0,3
n02676566_110,acousticguitar,0,0
n02676566_11034,acousticguitar,0,3
n02676566_11051,acousticguitar,0,2
n02676566_1106,acousticguitar,0,0
n02676566_11067,acousticguitar,0,2
n02676566_1107,acousticguitar,0,4
n02676566_11075,acousticguitar,0,3
n02676566_1108,acousticguitar,0,0
n02676566_11081,acousticguitar,0,1
n02676566_11092,acousticguitar,0,4
n02676566_11094,acousticguitar,0,2
n02676566_11110,acousticguitar,0,3
n02676566_11121,acousticguitar,0,1
n02676566_11134,acousticguitar,0,2
n02676566_11138,acousticguitar,0,1
n02676566_1115,acousticguitar,0,3
n02676566_1116,acousticguitar,0,2
n02676566_11163,acousticguitar,0,2
n02676566_1117,acousticguitar,0,1
n02676566_11208,acousticguitar,0,3
n02676566_1122,acousticguitar,0,0
n02676566_11284,acousticguitar,0,3
n02676566_11293,acousticguitar,0,2
n02676566_1136,acousticguitar,0,2
n02676566_11377,acousticguitar,0,4
n02676566_11446,acousticguitar,0,3
n02676566_11505,acousticguitar,0,2
n02676566_11513,acousticguitar,0,1
n02676566_1157,acousticguitar,0,2
n02676566_1158,acousticguitar,0,4
n02676566_11617,acousticguitar,0,2
n02676566_11646,acousticguitar,0,0
n02676566_1166,acousticguitar,0,0
n02676566_118,acousticguitar,0,0
n02676566_1180,acousticguitar,0,2
n02676566_11818,acousticguitar,0,4
n02676566_11888,acousticguitar,0,4
n02676566_1190,acousticguitar,0,0
n02676566_12007,acousticguitar,0,3
n02676566_12015,acousticguitar,0,3
n02676566_12040,acousticguitar,0,4
n02676566_12061,acousticguitar,0,3
n02676566_1207,acousticguitar,0,3
n02676566_12075,acousticguitar,0,0
n02676566_1216,acousticguitar,0,0
n02676566_12169,acousticguitar,0,1
n02676566_12185,acousticguitar,0,4
n02676566_1219,acousticguitar,0,4
n02676566_12194,acousticguitar,0,1
n02676566_12199,acousticguitar,0,3
n02676566_12227,acousticguitar,0,2
n02676566_1223,acousticguitar,0,1
n02676566_1228,acousticguitar,0,1
n02676566_12282,acousticguitar,0,1
n02676566_12344,acousticguitar,0,4
n02676566_1236,acousticguitar,0,4
n02676566_12360,acousticguitar,0,3
n02676566_1237,acousticguitar,0,0
n02676566_12384,acousticguitar,0,0
n02676566_1240,acousticguitar,0,2
n02676566_1241,acousticguitar,0,0
n02676566_12434,acousticguitar,0,0
n02676566_12438,acousticguitar,0,2
n02676566_125,acousticguitar,0,2
n02676566_1252,acousticguitar,0,4
n02676566_1256,acousticguitar,0,0
n02676566_1258,acousticguitar,0,2
n02676566_1275,acousticguitar,0,1
n02676566_1277,acousticguitar,0,2
n02676566_1283,acousticguitar,0,0
n02676566_130,acousticguitar,0,3
n02676566_1304,acousticguitar,0,3
n02676566_1305,acousticguitar,0,2
n02676566_1319,acousticguitar,0,1
n02676566_132,acousticguitar,0,0
n02676566_1324,acousticguitar,0,1
n02676566_1328,acousticguitar,0,0
n02676566_1338,acousticguitar,0,0
n02676566_1340,acousticguitar,0,3
n02676566_1341,acousticguitar,0,4
n02676566_1345,acousticguitar,0,2
n02676566_1365,acousticguitar,0,4
n02676566_137,acousticguitar,0,4
n02676566_1386,acousticguitar,0,4
n02676566_1393,acousticguitar,0,3
n02676566_1401,acousticguitar,0,0
n02676566_1409,acousticguitar,0,3
n02676566_1410,acousticguitar,0,2
n02676566_1416,acousticguitar,0,3
n02676566_1418,acousticguitar,0,1
n02676566_1422,acousticguitar,0,3
n02676566_1428,acousticguitar,0,0
n02676566_1431,acousticguitar,0,2
n02676566_1432,acousticguitar,0,3
n02676566_1434,acousticguitar,0,3
n02676566_1441,acousticguitar,0,0
n02676566_1443,acousticguitar,0,4
n02676566_1448,acousticguitar,0,1
n02676566_1465,acousticguitar,0,0
n02676566_147,acousticguitar,0,2
n02676566_1474,acousticguitar,0,1
n02676566_1479,acousticguitar,0,1
n02676566_1485,acousticguitar,0,2
n02676566_1492,acousticguitar,0,4
n02676566_152,acousticguitar,0,3
n02676566_1538,acousticguitar,0,3
n02676566_1551,acousticguitar,0,1
n02676566_1555,acousticguitar,0,0
n02676566_156,acousticguitar,0,3
n02676566_1563,acousticguitar,0,1
n02676566_1567,acousticguitar,0,2
n02676566_1571,acousticguitar,0,0
n02676566_1576,acousticguitar,0,4
n02676566_1587,acousticguitar,0,1
n02676566_159,acousticguitar,0,1
n02676566_1606,acousticguitar,0,1
n02676566_1608,acousticguitar,0,0
n02676566_162,acousticguitar,0,3
n02676566_1624,acousticguitar,0,4
n02676566_163,acousticguitar,0,2
n02676566_164,acousticguitar,0,3
n02676566_1643,acousticguitar,0,3
n02676566_1645,acousticguitar,0,4
n02676566_1646,acousticguitar,0,4
n02676566_165,acousticguitar,0,2
n02676566_1650,acousticguitar,0,1
n02676566_1651,acousticguitar,0,3
n02676566_1658,acousticguitar,0,2
n02676566_166,acousticguitar,0,4
n02676566_1664,acousticguitar,0,3
n02676566_1666,acousticguitar,0,0
n02676566_1669,acousticguitar,0,2
n02676566_167,acousticguitar,0,2
n02676566_1672,acousticguitar,0,0
n02676566_1675,acousticguitar,0,3
n02676566_1677,acousticguitar,0,2
n02676566_1679,acousticguitar,0,4
n02676566_1681,acousticguitar,0,1
n02676566_1682,acousticguitar,0,1
n02676566_1690,acousticguitar,0,0
n02676566_1691,acousticguitar,0,1
n02676566_1692,acousticguitar,0,2
n02676566_1698,acousticguitar,0,2
n02676566_17,acousticguitar,0,1
n02676566_1702,acousticguitar,0,2
n02676566_1707,acousticguitar,0,3
n02676566_1711,acousticguitar,0,2
n02676566_1715,acousticguitar,0,0
n02676566_172,acousticguitar,0,2
n02676566_1721,acousticguitar,0,2
n02676566_1723,acousticguitar,0,1
n02676566_1725,acousticguitar,0,2
n02676566_1728,acousticguitar,0,3
n02676566_1732,acousticguitar,0,3
n02676566_1736,acousticguitar,0,1
n02676566_1741,acousticguitar,0,0
n02676566_1751,acousticguitar,0,1
n02676566_1757,acousticguitar,0,0
n02676566_1764,acousticguitar,0,0
n02676566_1765,acousticguitar,0,0
n02676566_178,acousticguitar,0,2
n02676566_181,acousticguitar,0,3
n02676566_1825,acousticguitar,0,1
n02676566_1827,acousticguitar,0,0
n02676566_183,acousticguitar,0,4
n02676566_1835,acousticguitar,0,0
n02676566_1839,acousticguitar,0,4
n02676566_1843,acousticguitar,0,2
n02676566_1851,acousticguitar,0,0
n02676566_1853,acousticguitar,0,2
n02676566_1855,acousticguitar,0,1
n02676566_1866,acousticguitar,0,1
n02676566_1868,acousticguitar,0,4
