stem,cls,repeat,fold
n02701002_1,ambulance,0,1
n02701002_10,ambulance,0,3
n02701002_10004,ambulance,0,1
n02701002_1003,ambulance,0,4
n02701002_10046,ambulance,0,3
n02701002_10068,ambulance,0,2
n02701002_1007,ambulance,0,0
n02701002_10073,ambulance,0,0
n02701002_10091,ambulance,0,0
n02701002_10092,ambulance,0,0
n02701002_101,ambulance,0,1
n02701002_10156,ambulance,0,4
n02701002_1020,ambulance,0,3
n02701002_10200,ambulance,0,2
n02701002_1023,ambulance,0,1
n02701002_10251,ambulance,0,1
n02701002_10253,ambulance,0,0
n02701002_10279,ambulance,0,4
n02701002_1029,ambulance,0,1
n02701002_10324,ambulance,0,4
n02701002_10333,ambulance,0,2
n02701002_1035,ambulance,0,3
n02701002_10365,ambulance,0,4
n02701002_1038,ambulance,0,2
n02701002_10391,ambulance,0,4
n02701002_1040,ambulance,0,1
n02701002_1041,ambulance,0,0
n02701002_10422,ambulance,0,1
n02701002_1044,ambulance,0,1
n02701002_10444,ambulance,0,4
n02701002_10452,ambulance,0,0
n02701002_10497,ambulance,0,3
n02701002_1051,ambulance,0,1
n02701002_10558,ambulance,0,4
n02701002_1056,ambulance,0,1
n02701002_1059,ambulance,0,2
n02701002_10624,ambulance,0,3
n02701002_10625,ambulance,0,2
n02701002_1063,ambulance,0,2
n02701002_10648,ambulance,0,4
n02701002_10678,ambulance,0,4
n02701002_107,ambulance,0,4
n02701002_1070,ambulance,0,2
n02701002_10707,ambulance,0,4
n02701002_1073,ambulance,0,3
n02701002_10736,ambulance,0,0
n02701002_10745,ambulance,0,1
n02701002_1076,ambulance,0,1
n02701002_10767,ambulance,0,4
n02701002_1078,ambulance,0,2
n02701002_108,ambulance,0,3
n02701002_10847,ambulance,0,0
n02701002_1086,ambulance,0,4
n02701002_1087,ambulance,0,4
n02701002_10888,ambulance,0,0
n02701002_10894,ambulance,0,4
n02701002_1091,ambulance,0,2
n02701002_1092,ambulance,0,3
n02701002_10922,ambulance,0,3
n02701002_10926,ambulance,0,2
n02701002_10937,ambulance,0,1
n02701002_1094,ambulance,0,0
n02701002_10956,ambulance,0,2
n02701002_1096,ambulance,0,1
n02701002_11014,ambulance,0,0
n02701002_11017,ambulance,0,4
n02701002_11033,ambulance,0,4
n02701002_11048,ambulance,0,0
n02701002_1107,ambulance,0,2
n02701002_11083,ambulance,0,0
n02701002_11109,ambulance,0,1
n02701002_1112,ambulance,0,4
n02701002_1117,ambulance,0,2
n02701002_11206,ambulance,0,4
n02701002_11209,ambulance,0,3
n02701002_1126,ambulance,0,4
n02701002_11283,ambulance,0,3
n02701002_11320,ambulance,0,3
n02701002_11363,ambulance,0,0
n02701002_11393,ambulance,0,0
n02701002_114,ambulance,0,2
n02701002_11426,ambulance,0,0
n02701002_11433,ambulance,0,1
n02701002_1144,ambulance,0,2
n02701002_1146,ambulance,0,3
n02701002_11489,ambulance,0,1
n02701002_11492,ambulance,0,0
n02701002_115,ambulance,0,0
n02701002_1151,ambulance,0,4
n02701002_11574,ambulance,0,1
n02701002_1159,ambulance,0,1
n02701002_11595,ambulance,0,2
n02701002_11610,ambulance,0,2
n02701002_11614,ambulance,0,2
n02701002_11621,ambulance,0,0
n02701002_11647,ambulance,0,4
n02701002_11668,ambulance,0,2
n02701002_11677,ambulance,0,3
n02701002_11725,ambulance,0,1
n02701002_11738,ambulance,0,0
n02701002_1175,ambulance,0,1
n02701002_11756,ambulance,0,0
n02701002_1177,ambulance,0,0
n02701002_11773,ambulance,0,2
n02701002_11786,ambulance,0,3
n02701002_11790,ambulance,0,1
n02701002_11802,ambulance,0,4
n02701002_1182,ambulance,0,3
n02701002_1183,ambulance,0,3
n02701002_11841,ambulance,0,4
n02701002_11874,ambulance,0,0
n02701002_11882,ambulance,0,3
n02701002_11890,ambulance,0,3
n02701002_11912,ambulance,0,0
n02701002_11927,ambulance,0,0
n02701002_1195,ambulance,0,2
n02701002_11954,ambulance,0,2
n02701002_11976,ambulance,0,1
n02701002_1201,ambulance,0,3
n02701002_12025,ambulance,0,0
n02701002_1204,ambulance,0,3
n02701002_1207,ambulance,0,1
n02701002_12098,ambulance,0,2
n02701002_121,ambulance,0,2
n02701002_1213,ambulance,0,1
n02701002_12136,ambulance,0,3
n02701002_1215,ambulance,0,2
n02701002_12156,ambulance,0,2
n02701002_1216,ambulance,0,2
n02701002_12204,ambulance,0,4
n02701002_12242,ambulance,0,1
n02701002_12262,ambulance,0,2
n02701002_12264,ambulance,0,2
n02701002_12277,ambulance,0,1
n02701002_12278,ambulance,0,0
