stem,cls,repeat,fold
n02206856_1000,bee,0,4
n02206856_1003,bee,0,2
n02206856_1004,bee,0,3
n02206856_101,bee,0,0
n02206856_1014,bee,0,4
n02206856_1023,bee,0,4
n02206856_1028,bee,0,4
n02206856_1030,bee,0,1
n02206856_1036,bee,0,0
n02206856_1038,bee,0,2
n02206856_1042,bee,0,3
n02206856_1049,bee,0,2
n02206856_1051,bee,0,3
n02206856_1055,bee,0,3
n02206856_1056,bee,0,2
n02206856_1060,bee,0,2
n02206856_1063,bee,0,2
n02206856_1064,bee,0,0
n02206856_1069,bee,0,0
n02206856_1075,bee,0,2
n02206856_1077,bee,0,3
n02206856_1078,bee,0,4
n02206856_1081,bee,0,0
n02206856_1083,bee,0,0
n02206856_1086,bee,0,1
n02206856_1088,bee,0,4
n02206856_1089,bee,0,4
n02206856_1090,bee,0,2
n02206856_1092,bee,0,1
n02206856_1095,bee,0,0
n02206856_1100,bee,0,4
n02206856_1105,bee,0,4
n02206856_111,bee,0,4
n02206856_1111,bee,0,2
n02206856_1114,bee,0,1
n02206856_1115,bee,0,3
n02206856_1116,bee,0,3
n02206856_1126,bee,0,1
n02206856_1131,bee,0,1
n02206856_1136,bee,0,1
n02206856_1139,bee,0,0
n02206856_1145,bee,0,0
n02206856_1151,bee,0,0
n02206856_1152,bee,0,1
n02206856_1154,bee,0,4
n02206856_1159,bee,0,2
n02206856_116,bee,0,2
n02206856_1162,bee,0,3
n02206856_1163,bee,0,1
n02206856_1165,bee,0,3
n02206856_1167,bee,0,4
n02206856_1169,bee,0,0
n02206856_1173,bee,0,0
n02206856_1174,bee,0,2
n02206856_1175,bee,0,1
n02206856_1176,bee,0,3
n02206856_1177,bee,0,2
n02206856_12,bee,0,1
n02206856_120,bee,0,0
n02206856_1202,bee,0,4
n02206856_1210,bee,0,2
n02206856_1215,bee,0,0
n02206856_1216,bee,0,2
n02206856_1226,bee,0,1
n02206856_1229,bee,0,4
n02206856_123,bee,0,1
n02206856_1230,bee,0,3
n02206856_1235,bee,0,3
n02206856_1243,bee,0,2
n02206856_1244,bee,0,2
n02206856_1257,bee,0,0
n02206856_1266,bee,0,1
n02206856_1267,bee,0,2
n02206856_1272,bee,0,2
n02206856_1276,bee,0,0
n02206856_1287,bee,0,4
n02206856_1292,bee,0,0
n02206856_1298,bee,0,3
n02206856_1299,bee,0,3
n02206856_1300,bee,0,4
n02206856_1306,bee,0,0
n02206856_1309,bee,0,2
n02206856_131,bee,0,2
n02206856_1310,bee,0,4
n02206856_1318,bee,0,0
n02206856_132,bee,0,4
n02206856_1321,bee,0,2
n02206856_1328,bee,0,2
n02206856_1331,bee,0,3
n02206856_1340,bee,0,1
n02206856_1345,bee,0,2
n02206856_1346,bee,0,2
n02206856_1348,bee,0,3
n02206856_1352,bee,0,3
n02206856_1353,bee,0,3
n02206856_1359,bee,0,3
n02206856_1360,bee,0,3
n02206856_1367,bee,0,1
n02206856_1370,bee,0,0
n02206856_1371,bee,0,3
n02206856_1376,bee,0,4
n02206856_1384,bee,0,3
n02206856_1387,bee,0,4
n02206856_1388,bee,0,2
n02206856_139,bee,0,4
n02206856_1393,bee,0,0
n02206856_1395,bee,0,0
n02206856_1398,bee,0,0
n02206856_1402,bee,0,1
n02206856_1404,bee,0,3
n02206856_1406,bee,0,0
n02206856_1407,bee,0,2
n02206856_1411,bee,0,1
n02206856_1420,bee,0,3
n02206856_1426,bee,0,3
n02206856_1438,bee,0,2
n02206856_1441,bee,0,2
n02206856_1454,bee,0,1
n02206856_1455,bee,0,1
n02206856_1463,bee,0,4
n02206856_1468,bee,0,1
n02206856_1472,bee,0,0
n02206856_1480,bee,0,3
n02206856_1482,bee,0,2
n02206856_1485,bee,0,4
n02206856_1486,bee,0,4
n02206856_1488,bee,0,2
n02206856_1489,bee,0,0
n02206856_1496,bee,0,1
n02206856_15,bee,0,3
n02206856_1508,bee,0,1
n02206856_1516,bee,0,2
n02206856_1519,bee,0,1
n02206856_1521,bee,0,3
n02206856_1527,bee,0,0
n02206856_153,bee,0,2
n02206856_1530,bee,0,2
n02206856_1533,bee,0,0
n02206856_1538,bee,0,4
n02206856_154,bee,0,4
n02206856_1540,bee,0,0
n02206856_1542,bee,0,0
n02206856_1547,bee,0,1
n02206856_1551,bee,0,0
n02206856_1555,bee,0,3
n02206856_1556,bee,0,3
n02206856_1558,bee,0,3
n02206856_1569,bee,0,4
n02206856_1570,bee,0,3
n02206856_1580,bee,0,0
n02206856_159,bee,0,0
n02206856_1592,bee,0,0
n02206856_1598,bee,0,0
n02206856_16,bee,0,4
n02206856_1609,bee,0,2
n02206856_162,bee,0,4
n02206856_1620,bee,0,0
n02206856_1624,bee,0,3
n02206856_1625,bee,0,1
n02206856_1633,bee,0,2
n02206856_1639,bee,0,2
n02206856_1640,bee,0,2
n02206856_1643,bee,0,0
n02206856_1644,bee,0,0
n02206856_1649,bee,0,3
n02206856_1652,bee,0,0
n02206856_1653,bee,0,3
n02206856_1656,bee,0,1
n02206856_1657,bee,0,1
n02206856_1658,bee,0,2
n02206856_1659,bee,0,1
n02206856_1662,bee,0,2
n02206856_1664,bee,0,2
n02206856_1667,bee,0,2
n02206856_1670,bee,0,4
n02206856_1675,bee,0,4
n02206856_1678,bee,0,0
n02206856_168,bee,0,1
n02206856_1680,bee,0,1
n02206856_1681,bee,0,4
n02206856_1685,bee,0,4
n02206856_1689,bee,0,4
n02206856_169,bee,0,2
n02206856_1695,bee,0,3
n02206856_1697,bee,0,1
n02206856_1699,bee,0,4
n02206856_1701,bee,0,3
n02206856_1705,bee,0,0
n02206856_1706,bee,0,0
n02206856_1712,bee,0,2
n02206856_1715,bee,0,4
n02206856_1716,bee,0,1
n02206856_1717,bee,0,2
n02206856_1720,bee,0,0
n02206856_1722,bee,0,1
n02206856_1731,bee,0,1
n02206856_1733,bee,0,0
n02206856_1738,bee,0,1
n02206856_1740,bee,0,1
n02206856_1743,bee,0,2
n02206856_1744,bee,0,3
n02206856_1747,bee,0,2
n02206856_1748,bee,0,1
n02206856_1755,bee,0,0
n02206856_1758,bee,0,3
n02206856_1759,bee,0,4
n02206856_176,bee,0,3
n02206856_1761,bee,0,4
n02206856_1766,bee,0,0
n02206856_1769,bee,0,4
n02206856_177,bee,0,3
n02206856_1770,bee,0,0
n02206856_1771,bee,0,1
n02206856_1772,bee,0,0
n02206856_1778,bee,0,3
n02206856_1779,bee,0,3
n02206856_1781,bee,0,3
n02206856_1785,bee,0,3
n02206856_1787,bee,0,3
n02206856_17872,bee,0,1
n02206856_1793,bee,0,4
n02206856_1794,bee,0,1
n02206856_1797,bee,0,4
n02206856_18,bee,0,3
n02206856_180,bee,0,4
n02206856_1802,bee,0,2
n02206856_1808,bee,0,2
n02206856_1809,bee,0,3
n02206856_1810,bee,0,0
n02206856_1811,bee,0,1
n02206856_1815,bee,0,1
n02206856_1816,bee,0,0
n02206856_1817,bee,0,0
n02206856_1819,bee,0,3
n02206856_1820,bee,0,4
n02206856_1825,bee,0,4
n02206856_1829,bee,0,1
n02206856_183,bee,0,4
n02206856_1830,bee,0,2
n02206856_1837,bee,0,2
n02206856_184,bee,0,1
n02206856_1842,bee,0,4
n02206856_1844,bee,0,3
n02206856_1846,bee,0,2
n02206856_1849,bee,0,0
n02206856_1853,bee,0,2
n02206856_1855,bee,0,0
n02206856_1858,bee,0,4
n02206856_1859,bee,0,3
n02206856_1861,bee,0,1
n02206856_1866,bee,0,1
n02206856_1876,bee,0,2
n02206856_1878,bee,0,0
n02206856_1883,bee,0,3
n02206856_1885,bee,0,1
n02206856_189,bee,0,3
n02206856_1895,bee,0,4
n02206856_18990,bee,0,1
n02206856_1900,bee,0,1
n02206856_1904,bee,0,1
n02206856_1907,bee,0,1
n02206856_1910,bee,0,1
