stem,cls,repeat,fold
n07716358_10003,zucchini,0,2
n07716358_10021,zucchini,0,2
n07716358_10032,zucchini,0,3
n07716358_1006,zucchini,0,3
n07716358_10104,zucchini,0,3
n07716358_1018,zucchini,0,2
n07716358_10200,zucchini,0,2
n07716358_10227,zucchini,0,3
n07716358_10234,zucchini,0,1
n07716358_10248,zucchini,0,4
n07716358_10251,zucchini,0,4
n07716358_10261,zucchini,0,2
n07716358_10266,zucchini,0,0
n07716358_10274,zucchini,0,4
n07716358_10283,zucchini,0,1
n07716358_10297,zucchini,0,2
n07716358_10301,zucchini,0,3
n07716358_10308,zucchini,0,0
n07716358_1032,zucchini,0,4
n07716358_10336,zucchini,0,1
n07716358_10366,zucchini,0,2
n07716358_10385,zucchini,0,4
n07716358_10402,zucchini,0,4
n07716358_10412,zucchini,0,4
n07716358_10460,zucchini,0,3
n07716358_10478,zucchini,0,0
n07716358_10480,zucchini,0,3
n07716358_105,zucchini,0,1
n07716358_10504,zucchini,0,2
n07716358_10507,zucchini,0,3
n07716358_10510,zucchini,0,0
n07716358_10513,zucchini,0,3
n07716358_10534,zucchini,0,3
n07716358_10535,zucchini,0,1
n07716358_10595,zucchini,0,1
n07716358_10598,zucchini,0,3
n07716358_106,zucchini,0,2
n07716358_10624,zucchini,0,2
n07716358_10635,zucchini,0,2
n07716358_10640,zucchini,0,4
n07716358_10648,zucchini,0,1
n07716358_10651,zucchini,0,0
n07716358_10652,zucchini,0,0
n07716358_10664,zucchini,0,4
n07716358_10673,zucchini,0,4
n07716358_10694,zucchini,0,3
n07716358_10709,zucchini,0,0
n07716358_10735,zucchini,0,4
n07716358_10765,zucchini,0,3
n07716358_1077,zucchini,0,3
n07716358_1078,zucchini,0,2
n07716358_10780,zucchini,0,4
n07716358_10788,zucchini,0,1
n07716358_10798,zucchini,0,0
n07716358_10805,zucchini,0,2
n07716358_10830,zucchini,0,3
n07716358_10837,zucchini,0,2
n07716358_10886,zucchini,0,2
n07716358_10911,zucchini,0,4
n07716358_10912,zucchini,0,2
n07716358_10917,zucchini,0,4
n07716358_10920,zucchini,0,1
n07716358_10933,zucchini,0,1
n07716358_10945,zucchini,0,3
n07716358_10947,zucchini,0,1
n07716358_10954,zucchini,0,1
n07716358_10974,zucchini,0,2
n07716358_11012,zucchini,0,4
n07716358_11020,zucchini,0,3
n07716358_11026,zucchini,0,3
n07716358_11048,zucchini,0,3
n07716358_11050,zucchini,0,3
n07716358_11058,zucchini,0,4
n07716358_11086,zucchini,0,0
n07716358_11095,zucchini,0,0
n07716358_11120,zucchini,0,0
n07716358_11137,zucchini,0,4
n07716358_11165,zucchini,0,1
n07716358_11176,zucchini,0,2
n07716358_11193,zucchini,0,0
n07716358_11220,zucchini,0,3
n07716358_1123,zucchini,0,0
n07716358_11231,zucchini,0,2
n07716358_11252,zucchini,0,3
n07716358_11257,zucchini,0,0
n07716358_1126,zucchini,0,1
n07716358_11315,zucchini,0,1
n07716358_11349,zucchini,0,4
n07716358_11358,zucchini,0,4
n07716358_11370,zucchini,0,0
n07716358_11383,zucchini,0,1
n07716358_11389,zucchini,0,3
n07716358_11412,zucchini,0,0
n07716358_11421,zucchini,0,0
n07716358_11423,zucchini,0,2
n07716358_11437,zucchini,0,1
n07716358_11450,zucchini,0,4
n07716358_11472,zucchini,0,4
n07716358_11476,zucchini,0,2
n07716358_11487,zucchini,0,3
n07716358_11514,zucchini,0,3
n07716358_11601,zucchini,0,1
n07716358_11635,zucchini,0,2
n07716358_11807,zucchini,0,0
n07716358_1182,zucchini,0,0
n07716358_11887,zucchini,0,4
n07716358_11943,zucchini,0,3
n07716358_11986,zucchini,0,2
n07716358_12009,zucchini,0,4
n07716358_12014,zucchini,0,0
n07716358_12024,zucchini,0,4
n07716358_12060,zucchini,0,0
n07716358_12070,zucchini,0,2
n07716358_12083,zucchini,0,0
n07716358_12087,zucchini,0,3
n07716358_12138,zucchini,0,3
n07716358_12143,zucchini,0,3
n07716358_12157,zucchini,0,4
n07716358_12176,zucchini,0,3
n07716358_12183,zucchini,0,3
n07716358_12191,zucchini,0,2
n07716358_12219,zucchini,0,4
n07716358_12238,zucchini,0,0
n07716358_1225,zucchini,0,1
n07716358_12258,zucchini,0,4
n07716358_12265,zucchini,0,0
n07716358_12268,zucchini,0,4
n07716358_12312,zucchini,0,2
n07716358_12331,zucchini,0,2
n07716358_12371,zucchini,0,1
n07716358_12387,zucchini,0,0
n07716358_12393,zucchini,0,4
n07716358_12402,zucchini,0,0
n07716358_12403,zucchini,0,1
n07716358_12407,zucchini,0,1
n07716358_1242,zucchini,0,0
n07716358_12441,zucchini,0,0
n07716358_12486,zucchini,0,1
n07716358_12489,zucchini,0,1
n07716358_1253,zucchini,0,3
n07716358_12548,zucchini,0,0
n07716358_12557,zucchini,0,3
n07716358_12564,zucchini,0,0
n07716358_12578,zucchini,0,2
n07716358_12579,zucchini,0,4
n07716358_1258,zucchini,0,2
n07716358_12586,zucchini,0,2
n07716358_12591,zucchini,0,3
n07716358_12599,zucchini,0,0
n07716358_12621,zucchini,0,2
n07716358_12651,zucchini,0,4
n07716358_12700,zucchini,0,1
n07716358_12705,zucchini,0,3
n07716358_12730,zucchini,0,0
n07716358_12742,zucchini,0,2
n07716358_12770,zucchini,0,1
n07716358_12771,zucchini,0,3
n07716358_128,zucchini,0,3
n07716358_12808,zucchini,0,3
n07716358_12818,zucchini,0,4
n07716358_12828,zucchini,0,0
n07716358_1286,zucchini,0,1
n07716358_1288,zucchini,0,3
n07716358_12885,zucchini,0,2
n07716358_12903,zucchini,0,2
n07716358_12931,zucchini,0,4
