stem,cls,repeat,fold
n04522168_1,vase,0,0
n04522168_100,vase,0,4
n04522168_10017,vase,0,1
n04522168_10047,vase,0,3
n04522168_10058,vase,0,4
n04522168_10087,vase,0,0
n04522168_10104,vase,0,4
n04522168_10113,vase,0,2
n04522168_10115,vase,0,4
n04522168_10128,vase,0,0
n04522168_10131,vase,0,3
n04522168_10200,vase,0,0
n04522168_10215,vase,0,2
n04522168_10222,vase,0,2
n04522168_10248,vase,0,2
n04522168_10260,vase,0,0
n04522168_10268,vase,0,2
n04522168_10278,vase,0,0
n04522168_10287,vase,0,0
n04522168_1029,vase,0,4
n04522168_10310,vase,0,2
n04522168_10343,vase,0,1
n04522168_10356,vase,0,4
n04522168_10392,vase,0,4
n04522168_10415,vase,0,4
n04522168_1044,vase,0,2
n04522168_10478,vase,0,2
n04522168_10509,vase,0,0
n04522168_10539,vase,0,4
n04522168_10548,vase,0,3
n04522168_10592,vase,0,2
n04522168_10595,vase,0,1
n04522168_10597,vase,0,4
n04522168_10603,vase,0,0
n04522168_10628,vase,0,4
n04522168_10639,vase,0,3
n04522168_10660,vase,0,3
n04522168_10683,vase,0,0
n04522168_10712,vase,0,1
n04522168_10718,vase,0,0
n04522168_10729,vase,0,3
n04522168_10750,vase,0,2
n04522168_10765,vase,0,4
n04522168_10772,vase,0,2
n04522168_10779,vase,0,1
n04522168_10783,vase,0,1
n04522168_10797,vase,0,0
n04522168_10800,vase,0,4
n04522168_10801,vase,0,2
n04522168_1081,vase,0,1
n04522168_10823,vase,0,0
n04522168_10824,vase,0,3
n04522168_10840,vase,0,4
n04522168_10846,vase,0,0
n04522168_10905,vase,0,0
n04522168_10918,vase,0,3
n04522168_10937,vase,0,4
n04522168_10953,vase,0,4
n04522168_10988,vase,0,2
n04522168_11033,vase,0,3
n04522168_11078,vase,0,4
n04522168_11086,vase,0,0
n04522168_11135,vase,0,4
n04522168_11144,vase,0,1
n04522168_11146,vase,0,1
n04522168_11157,vase,0,4
n04522168_11159,vase,0,2
n04522168_11209,vase,0,0
n04522168_11216,vase,0,0
n04522168_11250,vase,0,1
n04522168_11267,vase,0,2
n04522168_11283,vase,0,4
n04522168_11284,vase,0,4
