stem,cls,repeat,fold
n07590611_1,hotpot,0,0
n07590611_10019,hotpot,0,2
n07590611_10068,hotpot,0,1
n07590611_10109,hotpot,0,4
n07590611_1011,hotpot,0,4
n07590611_10126,hotpot,0,4
n07590611_10139,hotpot,0,0
n07590611_1014,hotpot,0,4
n07590611_10158,hotpot,0,4
n07590611_1016,hotpot,0,4
n07590611_10194,hotpot,0,2
n07590611_10233,hotpot,0,1
n07590611_10262,hotpot,0,4
n07590611_10268,hotpot,0,2
n07590611_10299,hotpot,0,4
n07590611_1031,hotpot,0,1
n07590611_10312,hotpot,0,3
n07590611_10336,hotpot,0,0
n07590611_10340,hotpot,0,0
n07590611_10341,hotpot,0,0
n07590611_1038,hotpot,0,4
n07590611_1042,hotpot,0,0
n07590611_10453,hotpot,0,3
n07590611_10455,hotpot,0,0
n07590611_10471,hotpot,0,3
n07590611_10504,hotpot,0,2
n07590611_10516,hotpot,0,2
n07590611_10531,hotpot,0,4
n07590611_1055,hotpot,0,4
n07590611_10558,hotpot,0,2
n07590611_10571,hotpot,0,2
n07590611_10580,hotpot,0,2
n07590611_1061,hotpot,0,3
n07590611_10633,hotpot,0,2
n07590611_1064,hotpot,0,1
n07590611_10657,hotpot,0,4
n07590611_10669,hotpot,0,0
n07590611_1067,hotpot,0,2
n07590611_10679,hotpot,0,1
n07590611_10684,hotpot,0,4
n07590611_10697,hotpot,0,1
n07590611_10705,hotpot,0,1
n07590611_10713,hotpot,0,3
n07590611_10731,hotpot,0,0
n07590611_10763,hotpot,0,3
n07590611_10765,hotpot,0,0
n07590611_10775,hotpot,0,1
n07590611_10786,hotpot,0,4
n07590611_10787,hotpot,0,0
n07590611_10813,hotpot,0,2
n07590611_1083,hotpot,0,3
n07590611_10848,hotpot,0,0
n07590611_10901,hotpot,0,1
n07590611_10960,hotpot,0,0
n07590611_10987,hotpot,0,4
n07590611_11016,hotpot,0,2
n07590611_1105,hotpot,0,2
n07590611_11071,hotpot,0,1
n07590611_11089,hotpot,0,3
n07590611_11092,hotpot,0,3
n07590611_11102,hotpot,0,4
n07590611_11106,hotpot,0,2
n07590611_11108,hotpot,0,1
n07590611_11113,hotpot,0,3
n07590611_11129,hotpot,0,1
n07590611_11131,hotpot,0,1
n07590611_11132,hotpot,0,4
n07590611_11137,hotpot,0,1
n07590611_1116,hotpot,0,0
n07590611_11208,hotpot,0,1
n07590611_1121,hotpot,0,4
n07590611_1124,hotpot,0,0
n07590611_11242,hotpot,0,4
n07590611_11245,hotpot,0,2
n07590611_11249,hotpot,0,4
n07590611_11251,hotpot,0,0
n07590611_11258,hotpot,0,1
n07590611_11275,hotpot,0,1
n07590611_11289,hotpot,0,3
n07590611_11292,hotpot,0,3
n07590611_11331,hotpot,0,4
n07590611_11344,hotpot,0,2
n07590611_11345,hotpot,0,1
n07590611_11356,hotpot,0,1
n07590611_11363,hotpot,0,0
n07590611_11374,hotpot,0,4
n07590611_11384,hotpot,0,2
n07590611_11416,hotpot,0,0
n07590611_11441,hotpot,0,0
n07590611_11446,hotpot,0,2
n07590611_11459,hotpot,0,3
n07590611_11465,hotpot,0,4
n07590611_11501,hotpot,0,3
n07590611_11504,hotpot,0,3
n07590611_11506,hotpot,0,3
n07590611_11531,hotpot,0,2
n07590611_11542,hotpot,0,1
n07590611_11549,hotpot,0,2
n07590611_11550,hotpot,0,0
n07590611_11561,hotpot,0,3
n07590611_11597,hotpot,0,3
n07590611_11607,hotpot,0,2
n07590611_11613,hotpot,0,1
n07590611_11637,hotpot,0,2
n07590611_11639,hotpot,0,3
n07590611_11672,hotpot,0,0
n07590611_11680,hotpot,0,3
n07590611_11704,hotpot,0,2
n07590611_11748,hotpot,0,3
n07590611_11764,hotpot,0,1
n07590611_11790,hotpot,0,3
n07590611_11792,hotpot,0,0
n07590611_11798,hotpot,0,1
n07590611_11804,hotpot,0,1
n07590611_11808,hotpot,0,2
n07590611_11818,hotpot,0,0
n07590611_11826,hotpot,0,1
n07590611_11827,hotpot,0,4
n07590611_11831,hotpot,0,0
n07590611_11842,hotpot,0,1
n07590611_11867,hotpot,0,0
n07590611_1188,hotpot,0,1
n07590611_11883,hotpot,0,2
n07590611_11891,hotpot,0,4
n07590611_11892,hotpot,0,2
n07590611_1190,hotpot,0,3
n07590611_11900,hotpot,0,3
n07590611_11905,hotpot,0,3
n07590611_11912,hotpot,0,4
