pair,arm,words,mean,ci_lo,ci_hi,argmax_words,pick_words,cost_points
acousticguitar_violin,caption,3,0.9864361600071392,0.9844628910227368,0.9884094289915416,5,3,0.4302166298552068
acousticguitar_violin,caption,5,0.9907383263056913,0.9892491317883584,0.992227520823024,5,3,0.0
acousticguitar_violin,caption,7,0.9903801173504674,0.9887101879551684,0.9920500467457664,5,3,0.0358208955223871
acousticguitar_violin,caption,10,0.988826004506615,0.9869499754414038,0.990702033571826,5,3,0.19123217990762997
acousticguitar_violin,caption,15,0.9853593021439884,0.9837368494971712,0.9869817547908056,5,3,0.5379024161702883
acousticguitar_violin,caption,20,0.9804005086674252,0.9784483904087068,0.9823526269261436,5,3,1.0337817638266023
acousticguitar_violin,caption,25,0.975141244450394,0.9716742830378264,0.9786082058629612,5,3,1.559708185529729
acousticguitar_violin,caption,30,0.9720939696138144,0.9698432833594636,0.974344655868165,5,3,1.8644356691876807
ambulance_firetruck,caption,3,0.9847171497892988,0.9832576554392132,0.9861766441393846,5,3,0.04878048780487809
ambulance_firetruck,caption,5,0.9852049546673476,0.982983042498812,0.9874268668358832,5,3,0.0
ambulance_firetruck,caption,7,0.983321110847608,0.9809674793397424,0.9856747423554738,5,3,0.18838438197396057
ambulance_firetruck,caption,10,0.9824139713349264,0.98077679264758,0.9840511500222728,5,3,0.27909833324212263
ambulance_firetruck,caption,15,0.9779478385658948,0.9757188587648572,0.9801768183669326,5,3,0.7257116101452743
ambulance_firetruck,caption,20,0.9734809760962232,0.970933032466905,0.9760289197255416,5,3,1.1723978571124394
ambulance_firetruck,caption,25,0.9729939009188148,0.9699733820167344,0.9760144198208952,5,3,1.2211053748532819
ambulance_firetruck,caption,30,0.972924822591532,0.9695095723937376,0.9763400727893262,5,3,1.2280132075815575
ant_bee,caption,3,0.983833457517668,0.98204902903287,0.9856178860024658,5,3,0.10822551875183661
ant_bee,caption,5,0.9849157127051864,0.9830769024056668,0.986754523004706,5,3,0.0
ant_bee,caption,7,0.9844346903294272,0.9823557392669954,0.986513641391859,5,3,0.048102237575919915
ant_bee,caption,10,0.9774034184560502,0.9750866310093932,0.9797202059027073,5,3,0.7512294249136242
ant_bee,caption,15,0.9628594910700172,0.9598321383148292,0.9658868438252052,5,3,2.205622163516918
ant_bee,caption,20,0.9496379687958636,0.9461667235840172,0.95310921400771,5,3,3.527774390932281
ant_bee,caption,25,0.9445892207997468,0.9410008367551852,0.9481776048443086,5,3,4.032649190543958
ant_bee,caption,30,0.9370778297094088,0.9333300445092104,0.940825614909607,5,3,4.783788299577763
cucumber_zucchini,caption,3,0.928758555201204,0.925065220451388,0.93245188995102,5,5,1.2198552334539814
cucumber_zucchini,caption,5,0.9409571075357438,0.9371011047570488,0.9448131103144388,5,5,0.0
cucumber_zucchini,caption,7,0.9370589816175152,0.9334185065822506,0.94069945665278,5,5,0.3898125918228579
cucumber_zucchini,caption,10,0.932739814383488,0.929571971095542,0.935907657671434,5,5,0.8217293152255833
cucumber_zucchini,caption,15,0.917577131185724,0.912258476548544,0.9228957858229044,5,5,2.337997635001976
cucumber_zucchini,caption,20,0.8969921525065395,0.891837420166807,0.902146884846272,5,5,4.396495502920428
cucumber_zucchini,caption,25,0.8835233095639087,0.8774332137520946,0.8896134053757228,5,5,5.743379797183512
cucumber_zucchini,caption,30,0.8576036478302936,0.8491217883761023,0.866085507284485,5,5,8.335345970545017
hotpot_vase,caption,3,0.9974687200033386,0.9966161827843028,0.9983212572223744,5,3,0.008179959100218515
hotpot_vase,caption,5,0.9975505195943408,0.9966737551829138,0.998427284005768,5,3,0.0
hotpot_vase,caption,7,0.9973056216351572,0.9962819998775896,0.9983292433927248,5,3,0.02448979591835876
hotpot_vase,caption,10,0.9962442302074204,0.9950120588744336,0.9974764015404072,5,3,0.13062893869204562
hotpot_vase,caption,15,0.9958357330662326,0.9945608549933284,0.9971106111391368,5,3,0.1714786528108192
hotpot_vase,caption,20,0.9960807979633572,0.9946437831917422,0.997517812734972,5,3,0.1469721630983578
hotpot_vase,caption,25,0.9949374400066776,0.9934359118548404,0.9964389681585148,5,3,0.2613079587663214
hotpot_vase,caption,30,0.9962440632694796,0.994964742397663,0.9975233841412964,5,3,0.13064563248612604
