baseline,pair,setup,images,base_acc,base_lo,base_hi,interval,caption_acc,caption_diff,caption_lo,caption_hi,caption_p,caption_noclass_acc,caption_noclass_diff,caption_noclass_lo,caption_noclass_hi,caption_noclass_p
strmatch,acousticguitar_violin,w05,3347,0.8440394383029579,0.8317896623842247,0.856289214221691,bootstrap,0.9907383263056913,0.14670075630814539,0.14162289172749015,0.15177862088880062,1.3353126334795803e-27,0.8177438368694644,-0.026293733128081566,-0.03396870381322769,-0.018618762442935442,2.6112141515586973e-07
strmatch,ambulance_firetruck,w05,2866,0.9225401256106072,0.9124214933705513,0.9323098394975575,bootstrap,0.9852049546673478,0.06266243440295284,0.05806035381110394,0.06726451499480174,7.07993112947035e-20,0.8794149017032429,-0.04312761856115195,-0.051368923845336076,-0.034886313276967826,1.0698220384377131e-10
strmatch,ant_bee,w05,3328,0.8975360576923077,0.8873197115384616,0.9074519230769231,bootstrap,0.9849157127051863,0.08738016211700426,0.0826371043731358,0.09212321986087273,5.838665069137879e-23,0.8868388990494254,-0.010696651538756785,-0.017214456711365837,-0.004178846366147732,0.0024331930816064748
strmatch,cucumber_zucchini,w05,2361,0.819144430326133,0.8038860652265989,0.8343922066920796,bootstrap,0.9409571075357438,0.12180940265883113,0.11588610612903444,0.1277326991886278,4.3270055023679436e-24,0.7086763177697353,-0.11047138710717742,-0.1225364976258784,-0.09840627658847645,6.458311155438315e-16
strmatch,hotpot_vase,w05,2449,0.6459779501837485,0.6271947733768886,0.6651694569211923,bootstrap,0.9975505195943408,0.35157881557530984,0.34361809480199984,0.35953953634861985,5.262408513559937e-32,0.9966523934727266,0.3506806894536956,0.342548350941862,0.3588130279655293,9.320774868324692e-32
zeroshot,acousticguitar_violin,w05,3347,0.9847624738571855,0.9805796235434717,0.9886465491484911,bootstrap,0.9907383263056913,0.005975503647680869,0.00414231122850958,0.007808696066852158,5.861434846202626e-07,0.8177438368694644,-0.16701898578854607,-0.17329937794430653,-0.16073859363278561,9.613124356097955e-27
zeroshot,ambulance_firetruck,w05,2866,0.9853454291695743,0.9808094905792044,0.9895324494068388,bootstrap,0.9852049546673478,-0.00014034575648672832,-0.0017628142087309322,0.0014821226957574755,0.8598051907668813,0.8794149017032429,-0.10593039872059151,-0.11301246349654648,-0.09884833394463655,7.871036296932528e-21
zeroshot,ant_bee,w05,3328,0.9771634615384616,0.9717548076923077,0.9819786658653845,bootstrap,0.9849157127051863,0.007752534489376611,0.005420671878658147,0.010084397100095073,4.2657495438674027e-07,0.8868388990494254,-0.09032427916638441,-0.09538768905035923,-0.0852608692824096,1.249401236245903e-22
zeroshot,cucumber_zucchini,w05,2361,0.8881829733163914,0.8754659042778483,0.9008894536213469,bootstrap,0.9409571075357438,0.05277331852223457,0.04693800122905127,0.058608635815417864,8.53238802206932e-16,0.7086763177697353,-0.17950747124377398,-0.19239943162003192,-0.16661551086751603,4.2018905982721585e-20
zeroshot,hotpot_vase,w05,2449,0.9979583503470805,0.9959167006941608,0.9995916700694161,bootstrap,0.9975505195943408,-0.0004079963273652876,-0.001762209506122872,0.0009462168513922969,0.5399294249342469,0.9966523934727266,-0.0013061224489795764,-0.002763030621760352,0.00015078572380119917,0.07662100944768721
clip,acousticguitar_violin,w05,3347,0.9737077980280848,0.9683298476247386,0.9790857484314311,bootstrap,0.9907383263056913,0.017030363875688813,0.014999658969363876,0.01906106878201375,4.626691825365275e-15,0.8177438368694644,-0.15596412556053812,-0.16137536909252617,-0.15055288202855008,1.4125072133098272e-27
clip,ambulance_firetruck,w05,2866,0.9822051639916259,0.9773203070481508,0.9870900209351012,bootstrap,0.9852049546673478,0.0029976102304029783,-2.392433017058904e-05,0.006019144790976545,0.05169922839122308,0.8794149017032429,-0.10279244273370182,-0.11000560505966375,-0.09557928040773989,2.4442033136149785e-20
clip,ant_bee,w05,3328,0.9426081730769231,0.9347956730769231,0.9504206730769231,bootstrap,0.9849157127051863,0.042309196414459606,0.03955053402959663,0.04506785879932258,4.375592866139011e-21,0.8868388990494254,-0.05576761724130143,-0.05999757697630965,-0.05153765750629321,1.500937391289675e-19
clip,cucumber_zucchini,w05,2361,0.6709021601016518,0.6518424396442185,0.6895383312155866,bootstrap,0.9409571075357438,0.270055541620382,0.2625176258805731,0.27759345736019087,7.843932494489222e-30,0.7086763177697353,0.03777475185437345,0.026479258860817586,0.04907024484792931,3.8772154985874354e-07
clip,hotpot_vase,w05,2449,0.9951000408329931,0.9922417313189057,0.9975500204164965,bootstrap,0.9975505195943408,0.00244964734360003,0.001140015886702714,0.003759278800497346,0.0007490518367773153,0.9966523934727266,0.0015515212219857411,0.00012759548065693948,0.002975446963314543,0.03397226598189429
clip_probe,acousticguitar_violin,w05,3347,0.9821936059612253,0.9802697339133277,0.9841174780091229,folds,0.9907383263056913,0.008544720344466007,0.006889025688870143,0.01020041500006187,1.413305086816706e-10,0.8177438368694644,-0.1644497690917609,-0.17040278461330838,-0.15849675357021342,3.884670513314571e-27
clip_probe,ambulance_firetruck,w05,2866,0.9861142832819502,0.9843832944035864,0.9878452721603139,folds,0.9852049546673478,-0.0009093286146025247,-0.0034978772392878607,0.0016792200100828113,0.4754469554797916,0.8794149017032429,-0.1066993815787073,-0.11370528043121243,-0.09969348272620217,5.155868691217019e-21
clip_probe,ant_bee,w05,3328,0.968929169771275,0.9663974629729267,0.9714608765696232,folds,0.9849157127051863,0.015986542933911375,0.012902076151013315,0.019071009716809435,1.2975712461780033e-10,0.8868388990494254,-0.08209027072184966,-0.08665997085535751,-0.0775205705883418,1.0589941677392499e-22
clip_probe,cucumber_zucchini,w05,2361,0.8242276131436558,0.8187903007424925,0.8296649255448191,folds,0.9409571075357438,0.116729494392088,0.11002490178666995,0.12343408699750606,2.216353461190941e-22,0.7086763177697353,-0.11555129537392052,-0.1262886469876856,-0.10481394376015542,1.6375864195319333e-17
clip_probe,hotpot_vase,w05,2449,0.9991836734693876,0.9985880013597516,0.9997793455790237,folds,0.9975505195943408,-0.0016331538750469399,-0.0022288871627300227,-0.0010374205873638573,7.94461301334797e-06,0.9966523934727266,-0.002531279996661229,-0.003311062264431425,-0.0017514977288910325,6.262468053836568e-07
coca,acousticguitar_violin,w05,3347,0.978786973409023,0.9737077980280848,0.983567373767553,bootstrap,0.9907383263056913,0.011950471855966795,0.00976339292042545,0.014137550791508139,4.4705456203950764e-11,0.8177438368694644,-0.16104401758026016,-0.1673685225661674,-0.1547195125943529,2.703562205831906e-26
coca,ambulance_firetruck,w05,2866,0.9787159804605722,0.9731332868108863,0.9839497557571528,bootstrap,0.9852049546673478,0.006490322345257859,0.00420788617266393,0.008772758517851788,4.707569779500753e-06,0.8794149017032429,-0.09929973061884692,-0.1061222302475815,-0.09247723099011235,1.4916819093295067e-20
coca,ant_bee,w05,3328,0.9384014423076923,0.9299879807692307,0.9465144230769231,bootstrap,0.9849157127051863,0.04651538756801918,0.04226718116448422,0.05076359397155414,1.1010229506447667e-17,0.8868388990494254,-0.051561426087741856,-0.05581321230826427,-0.04730963986721944,1.044328484656052e-18
coca,cucumber_zucchini,w05,2361,0.7149512918254977,0.6963151207115629,0.7331639135959339,bootstrap,0.9409571075357438,0.22600745332712222,0.21904206535516874,0.2329728412990757,8.362223810803824e-29,0.7086763177697353,-0.006273336438886306,-0.01791607292071438,0.005369400042941771,0.2771243307967733
coca,hotpot_vase,w05,2449,0.9979583503470805,0.9959167006941608,0.9995916700694161,bootstrap,0.9975505195943408,-0.0004084971411877536,-0.00113817626100696,0.0003211819786314528,0.2592864461480417,0.9966523934727266,-0.0013066232628020425,-0.0021088373317580365,-0.0005044091938460486,0.002590511187702909
coca_probe,acousticguitar_violin,w05,3347,0.9829711532025971,0.9810646953337463,0.9848776110714479,folds,0.9907383263056913,0.007767173103094391,0.005918128604881404,0.009616217601307379,7.389197256772023e-09,0.8177438368694644,-0.16522731633313253,-0.17199329233309704,-0.15846134033316803,7.314263913472465e-26
coca_probe,ambulance_firetruck,w05,2866,0.9787855349009734,0.9764643778503717,0.9811066919515752,folds,0.9852049546673478,0.0064194197663741724,0.003703722697596006,0.009135116835152338,5.65468685319771e-05,0.8794149017032429,-0.09937063319773064,-0.1064619024198455,-0.09227936397561577,3.6203192634334774e-20
coca_probe,ant_bee,w05,3328,0.9606360044254781,0.9573233820671727,0.9639486267837836,folds,0.9849157127051863,0.024279708279708316,0.021123343064548307,0.027436073494868325,3.1342972064817933e-14,0.8868388990494254,-0.07379710537605272,-0.07807639790011203,-0.0695178128519934,2.7749767134411626e-22
coca_probe,cucumber_zucchini,w05,2361,0.8239737341885549,0.8186956048642826,0.8292518635128272,folds,0.9409571075357438,0.11698337334718888,0.11011462317632188,0.12385212351805587,3.723976397008385e-22,0.7086763177697353,-0.11529741641881966,-0.12621402899722242,-0.10438080384041691,2.5166763298299082e-17
coca_probe,hotpot_vase,w05,2449,0.9987751763282,0.9980455635066553,0.9995047891497447,folds,0.9975505195943408,-0.001224656733859182,-0.0018203695465273304,-0.0006289439211910335,0.0002847242956025474,0.9966523934727266,-0.002122782855473471,-0.00287168644446427,-0.0013738792664826718,4.93068442210069e-06
