class,word,in_top3,boxed,refused,absent,refused_pct,no_box_pct
bee,beetle,21,7,5,9,23.80952380952381,66.66666666666667
ant,and,24,12,0,12,0.0,50.0
firetruck,fire,225,128,1,96,0.4444444444444444,43.111111111111114
bee,bees,29,19,0,10,0.0,34.48275862068966
acousticguitar,guitars,21,14,0,7,0.0,33.333333333333336
zucchini,yellow,30,21,0,9,0.0,30.0
acousticguitar,guitar,639,489,0,150,0.0,23.474178403755868
zucchini,zucchinis,32,27,0,5,0.0,15.625
ambulance,patient,20,17,1,2,5.0,15.0
zucchini,squash,22,19,0,3,0.0,13.636363636363637
violin,playing,23,20,0,3,0.0,13.043478260869565
cucumber,cucumbers,78,69,0,9,0.0,11.538461538461538
firetruck,firefighters,36,32,0,4,0.0,11.11111111111111
bee,bumblebee,246,230,0,16,0.0,6.504065040650406
violin,in,31,29,0,2,0.0,6.451612903225806
hotpot,soup,83,78,0,5,0.0,6.024096385542169
ambulance,paramedics,36,34,0,2,0.0,5.555555555555555
violin,holding,37,35,0,2,0.0,5.405405405405405
acousticguitar,fretboard,37,35,0,2,0.0,5.405405405405405
hotpot,broth,57,54,0,3,0.0,5.2631578947368425
ambulance,emergency,39,37,0,2,0.0,5.128205128205129
bee,honeybee,60,57,0,3,0.0,5.0
ambulance,hospital,20,19,0,1,0.0,5.0
hotpot,spicy,20,19,0,1,0.0,5.0
firetruck,truck,245,233,0,12,0.0,4.8979591836734695
violin,cello,21,20,0,1,0.0,4.761904761904762
hotpot,broths,22,21,0,1,0.0,4.545454545454546
ant,bee,23,22,0,1,0.0,4.3478260869565215
ambulance,ambulance,179,172,1,6,0.5586592178770949,3.910614525139665
cucumber,tomatoes,30,29,0,1,0.0,3.3333333333333335
bee,bee,1065,1030,0,35,0.0,3.2863849765258215
zucchini,zucchini,339,328,0,11,0.0,3.2448377581120944
cucumber,zucchini,34,33,0,1,0.0,2.9411764705882355
violin,violinist,77,75,0,2,0.0,2.5974025974025974
vase,glass,116,113,0,3,0.0,2.586206896551724
ant,on,39,38,0,1,0.0,2.5641025641025643
violin,woman,162,158,0,4,0.0,2.4691358024691357
hotpot,meal,43,42,0,1,0.0,2.3255813953488373
firetruck,firefighter,46,45,0,1,0.0,2.1739130434782608
violin,sheet,46,45,0,1,0.0,2.1739130434782608
bee,yellow,54,53,0,1,0.0,1.8518518518518519
cucumber,fresh,57,56,0,1,0.0,1.7543859649122806
violin,violin,661,650,0,11,0.0,1.6641452344931922
cucumber,cucumber,357,352,0,5,0.0,1.4005602240896358
ant,ant,103,102,0,1,0.0,0.970873786407767
acousticguitar,acoustic,424,420,0,4,0.0,0.9433962264150944
vase,flowers,122,121,0,1,0.0,0.819672131147541
vase,vase,299,297,0,2,0.0,0.6688963210702341
bee,flowers,243,242,0,1,0.0,0.411522633744856
bee,flower,870,868,1,2,0.11494252873563218,0.3448275862068966
