best,best_acc,one_se,one_se_acc,threshold,pair,arm
w05,0.9907383263056913,w05,0.9907383263056913,0.9900167818727332,acousticguitar_violin,caption
w30,0.8584996095754411,w30,0.8584996095754411,0.8555997985286207,acousticguitar_violin,caption_noclass
w05,0.9852049546673476,w03,0.9847171497892988,0.9841283939245643,ambulance_firetruck,caption
w25,0.8952546351192757,w25,0.8952546351192757,0.8923461956624851,ambulance_firetruck,caption_noclass
w05,0.9849157127051864,w05,0.9849157127051864,0.9840247724556477,ant_bee,caption
w15,0.9197714105082526,w15,0.9197714105082526,0.9176176221636408,ant_bee,caption_noclass
w05,0.9409571075357438,w05,0.9409571075357438,0.9390887973143086,cucumber_zucchini,caption
w05,0.7086763177697353,w03,0.7068167484860429,0.7039747931894567,cucumber_zucchini,caption_noclass
w05,0.9975505195943408,w03,0.9974687200033386,0.9971257097574002,hotpot_vase,caption
w05,0.9966523934727266,w05,0.9966523934727266,0.9961270551346271,hotpot_vase,caption_noclass
