pair,class,captions,with_class,pct_with_class,tokens,class_tokens,pct_tokens_removed,empty_after
acousticguitar_violin,acousticguitar,40340,39097,96.9,269731,68115,25.3,0
acousticguitar_violin,violin,26600,22422,84.3,175754,22480,12.8,0
ambulance_firetruck,ambulance,30200,27246,90.2,211265,28342,13.4,14
ambulance_firetruck,firetruck,27120,25574,94.3,189757,48591,25.6,0
ant_bee,ant,33120,30162,91.1,215752,30320,14.1,0
ant_bee,bee,33440,31624,94.6,210579,31670,15.0,0
cucumber_zucchini,cucumber,25360,17427,68.7,168117,17486,10.4,0
cucumber_zucchini,zucchini,21860,19654,89.9,143771,19721,13.7,0
hotpot_vase,hotpot,22980,11067,48.2,165411,17806,10.8,0
hotpot_vase,vase,26000,19755,76.0,182277,19829,10.9,0
