pair,class,words,tier,tier_name,captions,with_term,pct
acousticguitar_violin,acousticguitar,3,1,Class name,10085,5927,58.77045116509668
acousticguitar_violin,acousticguitar,3,2,Synonyms,10085,93,0.9221616261774913
acousticguitar_violin,acousticguitar,3,3,Head noun,10085,9238,91.60138820029748
acousticguitar_violin,acousticguitar,5,1,Class name,10085,7054,69.9454635597422
acousticguitar_violin,acousticguitar,5,2,Synonyms,10085,147,1.457610312345067
acousticguitar_violin,acousticguitar,5,3,Head noun,10085,9910,98.26474962816063
acousticguitar_violin,acousticguitar,7,1,Class name,10085,7288,72.26574119980168
acousticguitar_violin,acousticguitar,7,2,Synonyms,10085,188,1.864154685176004
acousticguitar_violin,acousticguitar,7,3,Head noun,10085,9957,98.73078829945463
acousticguitar_violin,acousticguitar,10,1,Class name,10085,7951,78.83986117997026
acousticguitar_violin,acousticguitar,10,2,Synonyms,10085,192,1.9038175508180466
acousticguitar_violin,acousticguitar,10,3,Head noun,10085,9992,99.0778383738225
acousticguitar_violin,acousticguitar,15,1,Class name,10085,7622,75.57759048091225
acousticguitar_violin,acousticguitar,15,2,Synonyms,10085,242,2.3996033713435794
acousticguitar_violin,acousticguitar,15,3,Head noun,10085,10006,99.21665840356965
acousticguitar_violin,acousticguitar,20,1,Class name,10085,7611,75.46851760039662
acousticguitar_violin,acousticguitar,20,2,Synonyms,10085,174,1.7253346554288547
acousticguitar_violin,acousticguitar,20,3,Head noun,10085,10013,99.28606841844324
acousticguitar_violin,acousticguitar,25,1,Class name,10085,7644,75.79573624194349
acousticguitar_violin,acousticguitar,25,2,Synonyms,10085,175,1.7352503718393655
acousticguitar_violin,acousticguitar,25,3,Head noun,10085,9995,99.10758552305404
acousticguitar_violin,acousticguitar,30,1,Class name,10085,7737,76.71789786812097
acousticguitar_violin,acousticguitar,30,2,Synonyms,10085,136,1.3485374318294496
acousticguitar_violin,acousticguitar,30,3,Head noun,10085,10016,99.31581556767476
acousticguitar_violin,violin,3,1,Class name,6650,4808,72.30075187969925
acousticguitar_violin,violin,3,2,Synonyms,6650,10,0.15037593984962405
acousticguitar_violin,violin,3,3,Head noun,6650,0,0.0
acousticguitar_violin,violin,5,1,Class name,6650,5643,84.85714285714286
acousticguitar_violin,violin,5,2,Synonyms,6650,20,0.3007518796992481
acousticguitar_violin,violin,5,3,Head noun,6650,0,0.0
acousticguitar_violin,violin,7,1,Class name,6650,5865,88.19548872180451
acousticguitar_violin,violin,7,2,Synonyms,6650,19,0.2857142857142857
acousticguitar_violin,violin,7,3,Head noun,6650,0,0.0
acousticguitar_violin,violin,10,1,Class name,6650,6050,90.97744360902256
acousticguitar_violin,violin,10,2,Synonyms,6650,14,0.21052631578947367
acousticguitar_violin,violin,10,3,Head noun,6650,0,0.0
acousticguitar_violin,violin,15,1,Class name,6650,6074,91.33834586466165
acousticguitar_violin,violin,15,2,Synonyms,6650,17,0.2556390977443609
acousticguitar_violin,violin,15,3,Head noun,6650,0,0.0
acousticguitar_violin,violin,20,1,Class name,6650,6085,91.50375939849624
acousticguitar_violin,violin,20,2,Synonyms,6650,20,0.3007518796992481
acousticguitar_violin,violin,20,3,Head noun,6650,0,0.0
acousticguitar_violin,violin,25,1,Class name,6650,6083,91.47368421052632
acousticguitar_violin,violin,25,2,Synonyms,6650,25,0.37593984962406013
acousticguitar_violin,violin,25,3,Head noun,6650,0,0.0
acousticguitar_violin,violin,30,1,Class name,6650,6166,92.7218045112782
acousticguitar_violin,violin,30,2,Synonyms,6650,13,0.19548872180451127
acousticguitar_violin,violin,30,3,Head noun,6650,0,0.0
ambulance_firetruck,ambulance,3,1,Class name,7550,6548,86.72847682119205
ambulance_firetruck,ambulance,3,2,Synonyms,7550,255,3.377483443708609
ambulance_firetruck,ambulance,3,3,Head noun,7550,0,0.0
ambulance_firetruck,ambulance,5,1,Class name,7550,6713,88.91390728476821
ambulance_firetruck,ambulance,5,2,Synonyms,7550,182,2.410596026490066
ambulance_firetruck,ambulance,5,3,Head noun,7550,0,0.0
ambulance_firetruck,ambulance,7,1,Class name,7550,6768,89.64238410596026
ambulance_firetruck,ambulance,7,2,Synonyms,7550,98,1.2980132450331126
ambulance_firetruck,ambulance,7,3,Head noun,7550,0,0.0
ambulance_firetruck,ambulance,10,1,Class name,7550,6785,89.86754966887418
ambulance_firetruck,ambulance,10,2,Synonyms,7550,138,1.8278145695364238
ambulance_firetruck,ambulance,10,3,Head noun,7550,0,0.0
ambulance_firetruck,ambulance,15,1,Class name,7550,6767,89.62913907284768
ambulance_firetruck,ambulance,15,2,Synonyms,7550,207,2.7417218543046356
ambulance_firetruck,ambulance,15,3,Head noun,7550,0,0.0
ambulance_firetruck,ambulance,20,1,Class name,7550,6772,89.69536423841059
ambulance_firetruck,ambulance,20,2,Synonyms,7550,267,3.5364238410596025
ambulance_firetruck,ambulance,20,3,Head noun,7550,0,0.0
ambulance_firetruck,ambulance,25,1,Class name,7550,6749,89.3907284768212
ambulance_firetruck,ambulance,25,2,Synonyms,7550,301,3.986754966887417
ambulance_firetruck,ambulance,25,3,Head noun,7550,0,0.0
ambulance_firetruck,ambulance,30,1,Class name,7550,6796,90.01324503311258
ambulance_firetruck,ambulance,30,2,Synonyms,7550,415,5.496688741721854
ambulance_firetruck,ambulance,30,3,Head noun,7550,0,0.0
ambulance_firetruck,firetruck,3,1,Class name,6780,6094,89.88200589970502
ambulance_firetruck,firetruck,3,2,Synonyms,6780,1,0.014749262536873156
