family,pair,setup,level,arm_a,arm_b,metric,k,mean_a,mean_b,delta,delta_ci_lo,delta_ci_hi,t_nb,p_nb,p_nb_bonf,w,p_wilcoxon,p_wilcoxon_bonf,significant
leakage,acousticguitar_violin,w03,caption,caption,caption_noclass,accuracy,25,0.9765880373915179,0.7958622492916584,0.18072578809985945,0.1754901845103595,0.1859613916893594,26.45895670035239,2.878608938607643e-19,2.3028871508861145e-17,0.0,1.2279185361336645e-05,0.0009823348289069317,True
leakage,acousticguitar_violin,w03,caption,caption,caption_noclass,balanced_accuracy,25,0.9785259790386956,0.7955934136128961,0.18293256542579947,0.17745773577530768,0.18840739507629126,25.611779805876946,6.126537810162322e-19,4.901230248129857e-17,0.0,5.960464477539063e-08,4.76837158203125e-06,True
leakage,acousticguitar_violin,w03,caption,caption,caption_noclass,f1_macro,25,0.9757025650814771,0.790147213458074,0.18555535162340328,0.18019345323698316,0.1909172500098234,26.526151768906043,2.713853629927293e-19,2.1710829039418344e-17,0.0,5.960464477539063e-08,4.76837158203125e-06,True
leakage,acousticguitar_violin,w03,caption,caption,caption_noclass,roc_auc,25,0.996497385664983,0.88576030873932,0.11073707692566305,0.10582145724005425,0.11565269661127185,17.267685325696117,4.8781267966198525e-15,3.9025014372958823e-13,0.0,5.960464477539063e-08,4.76837158203125e-06,True
leakage,acousticguitar_violin,w03,caption,caption,caption_noclass,brier,25,0.020368881534084084,0.14089618300267634,-0.12052730146859228,-0.12291489285528989,-0.11813971008189467,-38.694102226007686,3.860840084944012e-23,3.0886720679552098e-21,0.0,5.960464477539063e-08,4.76837158203125e-06,True
leakage,acousticguitar_violin,w05,caption,caption,caption_noclass,accuracy,25,0.988742600896861,0.7975827588514826,0.1911598420453785,0.18623113793357962,0.19608854615717738,29.729202652993415,1.9018825459063102e-20,1.5215060367250482e-18,0.0,5.960464477539063e-08,4.76837158203125e-06,True
leakage,acousticguitar_violin,w05,caption,caption,caption_noclass,balanced_accuracy,25,0.9886058484540221,0.7984695475144634,0.19013630093955863,0.18521277068172998,0.1950598311973873,29.601094841586253,2.1040026152387317e-20,1.6832020921909852e-18,0.0,5.960464477539063e-08,4.76837158203125e-06,True
leakage,acousticguitar_violin,w05,caption,caption,caption_noclass,f1_macro,25,0.9882578002209955,0.792244555355415,0.1960132448655803,0.19107469842777552,0.20095179130338509,30.423251064776032,1.1082214074396656e-20,8.865771259517325e-19,0.0,5.960464477539063e-08,4.76837158203125e-06,True
leakage,acousticguitar_violin,w05,caption,caption,caption_noclass,roc_auc,25,0.998089936157742,0.883811633381663,0.1142783027760788,0.1101495466499519,0.1184070589022057,21.216019004933187,4.672903988592317e-17,3.738323190873853e-15,0.0,5.960464477539063e-08,4.76837158203125e-06,True
leakage,acousticguitar_violin,w05,caption,caption,caption_noclass,brier,25,0.01582955216697387,0.1471556618306227,-0.13132610966364885,-0.13294210182318353,-0.12971011750411418,-62.29184222012029,4.7054319483443465e-28,3.7643455586754773e-26,0.0,5.960464477539063e-08,4.76837158203125e-06,True
leakage,acousticguitar_violin,w07,caption,caption,caption_noclass,accuracy,25,0.9888503669990852,0.7974885750619102,0.19136179193717506,0.18610481524969602,0.1966187686246541,27.90220486596622,8.363173650684029e-20,6.690538920547223e-18,0.0,5.960464477539063e-08,4.76837158203125e-06,True
leakage,acousticguitar_violin,w07,caption,caption,caption_noclass,balanced_accuracy,25,0.988541448885462,0.8005681386474811,0.187973310237981,0.18288645418429966,0.19306016629166234,28.324750060058804,5.890466845645102e-20,4.712373476516082e-18,0.0,5.960464477539063e-08,4.76837158203125e-06,True
leakage,acousticguitar_violin,w07,caption,caption,caption_noclass,f1_macro,25,0.9883656017061212,0.7928304867898209,0.1955351149163003,0.19031781597217412,0.20075241386042647,28.72753643358204,4.236716381212823e-20,3.3893731049702585e-18,0.0,5.960464477539063e-08,4.76837158203125e-06,True
leakage,acousticguitar_violin,w07,caption,caption,caption_noclass,roc_auc,25,0.9979422330732859,0.8837977418486638,0.11414449122462202,0.10956486238032434,0.11872412006891969,19.104867045349632,5.049429646982847e-16,4.039543717586277e-14,0.0,5.960464477539063e-08,4.76837158203125e-06,True
leakage,acousticguitar_violin,w07,caption,caption,caption_noclass,brier,25,0.019694746209570055,0.14834096162233737,-0.12864621541276733,-0.1304239698959807,-0.12686846092955395,-55.468264392038485,7.478924935680572e-27,5.983139948544458e-25,0.0,5.960464477539063e-08,4.76837158203125e-06,True
