experiment,arm,setup,level,repeat,fold,n_test,accuracy,balanced_accuracy,f1_macro
food,caption,w05,caption,0,0,3510,0.9487179487179487,0.9500764644659819,0.9488388194772749
food,caption,w05,image,0,0,702,0.9544159544159544,0.9557937926014163,0.9546072377837698
food,caption,w05,caption,0,1,3510,0.9435897435897436,0.9446753418641447,0.9438207044464574
food,caption,w05,image,0,1,702,0.9501424501424501,0.9509640779444234,0.9502918806022537
food,caption,w05,caption,0,2,3510,0.9427350427350427,0.9437354305582165,0.943002188078815
food,caption,w05,image,0,2,702,0.9529914529914529,0.9536588889691542,0.9531876335075614
food,caption,w05,caption,0,3,3510,0.9333333333333333,0.9346701048088972,0.9335821542481616
food,caption,w05,image,0,3,702,0.9401709401709402,0.9412203311044037,0.9403190928831462
food,caption,w05,caption,0,4,3510,0.9498575498575499,0.9506423357366266,0.9500221371252202
food,caption,w05,image,0,4,702,0.9544159544159544,0.9552787066000312,0.9545288690242818
food,caption,w05,caption,1,0,3510,0.9398860398860399,0.9411159841415947,0.9398911353821843
food,caption,w05,image,1,0,702,0.9444444444444444,0.9459574903291402,0.9445518357683625
food,caption,w05,caption,1,1,3510,0.945014245014245,0.9459283724679795,0.945341127627239
food,caption,w05,image,1,1,702,0.9544159544159544,0.9553257410315182,0.9546584860826246
food,caption,w05,caption,1,2,3510,0.9447293447293448,0.9462138034500773,0.9448446109849185
food,caption,w05,image,1,2,702,0.9515669515669516,0.9527799850706735,0.9517573866476327
food,caption,w05,caption,1,3,3510,0.9435897435897436,0.9443380267534368,0.9437004752838649
food,caption,w05,image,1,3,702,0.9444444444444444,0.9450775623529708,0.9444804702040811
food,caption,w05,caption,1,4,3510,0.9444444444444444,0.9457750977873594,0.9448353150304735
food,caption,w05,image,1,4,702,0.9501424501424501,0.9514081646655447,0.9503922570239339
food,caption,w05,caption,2,0,3510,0.9507122507122507,0.9513565674613917,0.9510449995477352
food,caption,w05,image,2,0,702,0.9572649572649573,0.9575516932276908,0.9575524124931691
food,caption,w05,caption,2,1,3510,0.9467236467236467,0.9472001732633061,0.9467812655498996
food,caption,w05,image,2,1,702,0.9515669515669516,0.9515223708195716,0.9514796374518338
food,caption,w05,caption,2,2,3510,0.9512820512820512,0.9521112224354485,0.9515597875949341
food,caption,w05,image,2,2,702,0.9558404558404558,0.956796769570138,0.9560321574814981
food,caption,w05,caption,2,3,3510,0.9441595441595442,0.9455085864566092,0.9443764654104525
food,caption,w05,image,2,3,702,0.9529914529914529,0.9543888136838898,0.9532614021681187
food,caption,w05,caption,2,4,3510,0.9293447293447293,0.9317579911292567,0.9294228054988157
food,caption,w05,image,2,4,702,0.9316239316239316,0.9343477972114765,0.9317239891366699
food,caption,w05,caption,3,0,3510,0.947008547008547,0.9475981975803297,0.9471596855648956
food,caption,w05,image,3,0,702,0.9558404558404558,0.9563659224767028,0.9561096120398291
food,caption,w05,caption,3,1,3510,0.945014245014245,0.9461329194265465,0.9452859061675305
food,caption,w05,image,3,1,702,0.9487179487179487,0.949851101846337,0.9489645825083343
food,caption,w05,caption,3,2,3510,0.9447293447293448,0.9455477000357005,0.944844351072982
food,caption,w05,image,3,2,702,0.9487179487179487,0.9492884490356137,0.948767925901601
food,caption,w05,caption,3,3,3510,0.9384615384615385,0.939707213502979,0.9385479621041806
food,caption,w05,image,3,3,702,0.9444444444444444,0.945647933816809,0.9445830812819259
food,caption,w05,caption,3,4,3510,0.9467236467236467,0.9485592774911632,0.9470276186010231
food,caption,w05,image,3,4,702,0.9529914529914529,0.9546620387532015,0.9531562908737171
food,caption,w05,caption,4,0,3510,0.9421652421652421,0.9433314683463582,0.9424615126017644
food,caption,w05,image,4,0,702,0.9472934472934473,0.9481244848725492,0.9474470888195127
food,caption,w05,caption,4,1,3510,0.9447293447293448,0.9458056442928391,0.9447487679338389
food,caption,w05,image,4,1,702,0.9515669515669516,0.9526179002653095,0.9516560242346334
food,caption,w05,caption,4,2,3510,0.954985754985755,0.9563127704370021,0.9551483521798868
food,caption,w05,image,4,2,702,0.9615384615384616,0.9628332008957597,0.961743401816388
food,caption,w05,caption,4,3,3510,0.9319088319088319,0.9316514284936561,0.9320209043155545
food,caption,w05,image,4,3,702,0.9415954415954416,0.940935878228624,0.9415469369821355
food,caption,w05,caption,4,4,3510,0.9452991452991453,0.9475467709564359,0.9455767592359482
food,caption,w05,image,4,4,702,0.9501424501424501,0.9521806349548773,0.9503877136120419
