experiment,arm,setup,class,rank,word,z
food,caption,w05,cucumber,1,cucumber,12.948603630065918
food,caption,w05,cucumber,2,cucumber-carrot,10.15565299987793
food,caption,w05,cucumber,3,crates,6.336485862731934
food,caption,w05,cucumber,4,cucumbers,6.284296035766602
food,caption,w05,cucumber,5,cucumber-tomato-corn,5.429542541503906
food,caption,w05,cucumber,6,cutter,5.2425360679626465
food,caption,w05,cucumber,7,trellis-supported,5.175262451171875
food,caption,w05,cucumber,8,crops,5.163058280944824
food,caption,w05,cucumber,9,celery,4.860321044921875
food,caption,w05,cucumber,10,oranges-fresh,4.643754005432129
food,caption,w05,cucumber,11,crumbs,4.564525604248047
food,caption,w05,cucumber,12,cart,4.559841632843018
food,caption,w05,hotpot,1,meat-stewed,12.91018295288086
food,caption,w05,hotpot,2,stew,12.298310279846191
food,caption,w05,hotpot,3,stewing,12.235541343688965
food,caption,w05,hotpot,4,stews,12.228049278259277
food,caption,w05,hotpot,5,hotpot,12.144685745239258
food,caption,w05,hotpot,6,slow-cooked,11.68021297454834
food,caption,w05,hotpot,7,slow-cooking,11.197185516357422
food,caption,w05,hotpot,8,stovetop,10.695682525634766
food,caption,w05,hotpot,9,stewed,10.65346622467041
food,caption,w05,hotpot,10,broths,10.21028995513916
food,caption,w05,hotpot,11,hearty,10.157050132751465
food,caption,w05,hotpot,12,chowder,10.032780647277832
food,caption,w05,zucchini,1,zucchini,15.95036506652832
food,caption,w05,zucchini,2,zucchinis,13.526537895202637
food,caption,w05,zucchini,3,zucchini-topped,12.990508079528809
food,caption,w05,zucchini,4,zephyr,8.712058067321777
food,caption,w05,zucchini,5,zebra,7.166405200958252
food,caption,w05,zucchini,6,pumpkin,5.698947906494141
food,caption,w05,zucchini,7,sunflower,5.61594295501709
food,caption,w05,zucchini,8,chayote,5.069055080413818
food,caption,w05,zucchini,9,sunflowers,5.043091297149658
food,caption,w05,zucchini,10,pumpkins,4.820556163787842
food,caption,w05,zucchini,11,squashes,4.666744709014893
food,caption,w05,zucchini,12,yellow-green,4.559083461761475
