pair,arm,setup,source,n_runs,n_captions,jaccard,top1_changed,tau
acousticguitar_violin,caption,w07,model,25,400,0.9658841666666668,0.0058000000000000005,0.8442064285714285
acousticguitar_violin,caption,w07,caption,5,400,0.7123916666666668,,
acousticguitar_violin,caption_noclass,w07,model,25,400,0.9336508333333333,0.05380000000000001,0.7625563756613757
acousticguitar_violin,caption_noclass,w07,caption,5,400,0.49299166666666666,,
ambulance_firetruck,caption,w07,model,25,400,0.9663349999999999,0.0,0.8787707190957189
ambulance_firetruck,caption,w07,caption,5,400,0.7102250000000001,,
ambulance_firetruck,caption_noclass,w07,model,25,400,0.9231283333333333,0.0369,0.775164126984127
ambulance_firetruck,caption_noclass,w07,caption,5,400,0.5804208333333334,,
ant_bee,caption,w07,model,25,400,0.9889125,0.0002,0.8927774867724868
ant_bee,caption,w07,caption,5,400,0.572225,,
ant_bee,caption_noclass,w07,model,25,400,0.9533208333333333,0.013500000000000002,0.8539055820105819
ant_bee,caption_noclass,w07,caption,5,400,0.522,,
cucumber_zucchini,caption,w07,model,25,400,0.9031941666666669,0.0027,0.7486046440596439
cucumber_zucchini,caption,w07,caption,5,400,0.6736583333333332,,
cucumber_zucchini,caption_noclass,w07,model,25,400,0.8593508333333334,0.12,0.5967779966329966
cucumber_zucchini,caption_noclass,w07,caption,5,400,0.5462041666666667,,
hotpot_vase,caption,w07,model,25,400,0.9620666666666667,0.0083,0.8950099733599732
hotpot_vase,caption,w07,caption,5,400,0.6309083333333334,,
hotpot_vase,caption_noclass,w07,model,25,400,0.9816525000000001,0.0274,0.8833626503126503
hotpot_vase,caption_noclass,w07,caption,5,400,0.5340083333333333,,
