pair,arm,setup,method,source,n_runs,n_captions,jaccard,top1_changed,tau
acousticguitar_violin,caption,w07,LIME,model,25,200,0.96265,0.0024,0.8255914814814814
acousticguitar_violin,caption,w07,LIME,seed,5,200,0.9517500000000001,0.002,0.8014044733044733
acousticguitar_violin,caption,w07,SMER,seed,5,200,1.0,0.0,1.0
acousticguitar_violin,caption_noclass,w07,LIME,model,25,200,0.9256383333333333,0.0558,0.7393856084656083
acousticguitar_violin,caption_noclass,w07,LIME,seed,5,200,0.981,0.016,0.9518428571428572
acousticguitar_violin,caption_noclass,w07,SMER,seed,5,200,1.0,0.0,1.0
ambulance_firetruck,caption,w07,LIME,model,25,200,0.9479083333333332,0.0022,0.8723125877825876
ambulance_firetruck,caption,w07,LIME,seed,5,200,0.961,0.0,0.9135099567099567
ambulance_firetruck,caption,w07,SMER,seed,5,200,1.0,0.0,1.0
ambulance_firetruck,caption_noclass,w07,LIME,model,25,200,0.9354566666666666,0.031200000000000002,0.7696088888888889
ambulance_firetruck,caption_noclass,w07,LIME,seed,5,200,0.9875,0.008,0.951631746031746
ambulance_firetruck,caption_noclass,w07,SMER,seed,5,200,1.0,0.0,1.0
ant_bee,caption,w07,LIME,model,25,200,0.9854666666666668,0.001,0.9103862722462722
ant_bee,caption,w07,LIME,seed,5,200,0.9752500000000001,0.001,0.9234849927849927
ant_bee,caption,w07,SMER,seed,5,200,1.0,0.0,1.0
ant_bee,caption_noclass,w07,LIME,model,25,200,0.9326166666666666,0.0182,0.8404467195767196
ant_bee,caption_noclass,w07,LIME,seed,5,200,0.9782500000000001,0.002,0.9655714285714285
ant_bee,caption_noclass,w07,SMER,seed,5,200,1.0,0.0,1.0
cucumber_zucchini,caption,w07,LIME,model,25,200,0.9126783333333333,0.0058,0.7438613804713805
cucumber_zucchini,caption,w07,LIME,seed,5,200,0.96875,0.001,0.9241587301587301
cucumber_zucchini,caption,w07,SMER,seed,5,200,1.0,0.0,1.0
cucumber_zucchini,caption_noclass,w07,LIME,model,25,200,0.8514916666666668,0.10060000000000001,0.583820582010582
cucumber_zucchini,caption_noclass,w07,LIME,seed,5,200,0.9890000000000001,0.006999999999999999,0.9747507936507936
cucumber_zucchini,caption_noclass,w07,SMER,seed,5,200,1.0,0.0,1.0
hotpot_vase,caption,w07,LIME,model,25,200,0.963125,0.021399999999999995,0.8643131601731602
hotpot_vase,caption,w07,LIME,seed,5,200,0.9723,0.009000000000000001,0.926183694083694
hotpot_vase,caption,w07,SMER,seed,5,200,1.0,0.0,1.0
hotpot_vase,caption_noclass,w07,LIME,model,25,200,0.9809666666666667,0.0172,0.9086567484367484
hotpot_vase,caption_noclass,w07,LIME,seed,5,200,0.97275,0.02,0.9225365079365079
hotpot_vase,caption_noclass,w07,SMER,seed,5,200,1.0,0.0,1.0
