pair,arm,setup,source,n_runs,n_captions,jaccard,top1_changed,tau
acousticguitar_violin,caption,w07,model,25,300,0.963891111111111,0.0053333333333333,0.8463230335097002
acousticguitar_violin,caption,w07,caption,5,300,0.7104,,
acousticguitar_violin,caption_noclass,w07,model,25,300,0.9352955555555555,0.0516,0.775663492063492
acousticguitar_violin,caption_noclass,w07,caption,5,300,0.485061111111111,,
ambulance_firetruck,caption,w07,model,25,300,0.9627744444444444,0.0,0.8720368959435625
ambulance_firetruck,caption,w07,caption,5,300,0.7100777777777779,,
ambulance_firetruck,caption_noclass,w07,model,25,300,0.9173044444444444,0.0358666666666666,0.762690582010582
ambulance_firetruck,caption_noclass,w07,caption,5,300,0.5830333333333334,,
ant_bee,caption,w07,model,25,300,0.9856166666666668,0.0,0.9005282892416225
ant_bee,caption,w07,caption,5,300,0.5789,,
ant_bee,caption_noclass,w07,model,25,300,0.9531944444444446,0.0113333333333333,0.847450405643739
ant_bee,caption_noclass,w07,caption,5,300,0.5277999999999999,,
cucumber_zucchini,caption,w07,model,25,300,0.90512,0.0036,0.7505296135962802
cucumber_zucchini,caption,w07,caption,5,300,0.6836777777777778,,
cucumber_zucchini,caption_noclass,w07,model,25,300,0.8544166666666668,0.118,0.6022000801667469
cucumber_zucchini,caption_noclass,w07,caption,5,300,0.5431999999999999,,
hotpot_vase,caption,w07,model,25,300,0.9654611111111112,0.0082666666666666,0.9138892189292188
hotpot_vase,caption,w07,caption,5,300,0.6151555555555556,,
hotpot_vase,caption_noclass,w07,model,25,300,0.982782222222222,0.0266666666666666,0.8901152637485968
hotpot_vase,caption_noclass,w07,caption,5,300,0.5216888888888889,,
acousticguitar_violin,caption,w30,model,25,300,0.9773488888888888,0.0033333333333333,0.6209194768475768
acousticguitar_violin,caption,w30,caption,5,300,0.7105944444444444,,
acousticguitar_violin,caption_noclass,w30,model,25,300,0.9258577777777776,0.0248,0.5108922258917203
acousticguitar_violin,caption_noclass,w30,caption,5,300,0.4413888888888889,,
ambulance_firetruck,caption,w30,model,25,300,0.96293,0.0009333333333333,0.4479375580686709
ambulance_firetruck,caption,w30,caption,5,300,0.6360277777777777,,
ambulance_firetruck,caption_noclass,w30,model,25,300,0.8717722222222222,0.0358666666666666,0.361096810404207
ambulance_firetruck,caption_noclass,w30,caption,5,300,0.5116,,
ant_bee,caption,w30,model,25,300,0.97614,0.1053333333333333,0.6543161168073087
ant_bee,caption,w30,caption,5,300,0.4979499999999999,,
ant_bee,caption_noclass,w30,model,25,300,0.9693733333333334,0.0059999999999999,0.601950564241033
ant_bee,caption_noclass,w30,caption,5,300,0.4415499999999999,,
cucumber_zucchini,caption,w30,model,25,300,0.8374144444444445,0.0565333333333333,0.2571353394161769
cucumber_zucchini,caption,w30,caption,5,300,0.5439555555555555,,
cucumber_zucchini,caption_noclass,w30,model,25,300,0.8347488888888889,0.086,0.2183297598849689
cucumber_zucchini,caption_noclass,w30,caption,5,300,0.4529277777777777,,
hotpot_vase,caption,w30,model,25,300,0.9456666666666668,0.0290666666666666,0.73471252835938
hotpot_vase,caption,w30,caption,5,300,0.3387722222222222,,
hotpot_vase,caption_noclass,w30,model,25,300,0.9415555555555556,0.0506666666666666,0.7335459967902181
hotpot_vase,caption_noclass,w30,caption,5,300,0.3476055555555555,,
