pair,arm,setup,method,source,n_runs,n_captions,jaccard,top1_changed,tau
acousticguitar_violin,caption,w07,LIME,model,25,200,0.96265,0.0024,0.8255914814814814
acousticguitar_violin,caption,w07,LIME,seed,5,200,0.95175,0.002,0.8014044733044733
acousticguitar_violin,caption,w07,SMER,seed,5,200,1.0,0.0,1.0
acousticguitar_violin,caption_noclass,w07,LIME,model,25,200,0.9256383333333332,0.0558,0.7393856084656083
acousticguitar_violin,caption_noclass,w07,LIME,seed,5,200,0.981,0.016,0.9518428571428572
acousticguitar_violin,caption_noclass,w07,SMER,seed,5,200,1.0,0.0,1.0
ambulance_firetruck,caption,w07,LIME,model,25,200,0.9479083333333332,0.0022,0.8723125877825876
ambulance_firetruck,caption,w07,LIME,seed,5,200,0.961,0.0,0.9135099567099568
ambulance_firetruck,caption,w07,SMER,seed,5,200,1.0,0.0,1.0
ambulance_firetruck,caption_noclass,w07,LIME,model,25,200,0.9354566666666666,0.0312,0.7696088888888889
ambulance_firetruck,caption_noclass,w07,LIME,seed,5,200,0.9875,0.008,0.951631746031746
ambulance_firetruck,caption_noclass,w07,SMER,seed,5,200,1.0,0.0,1.0
ant_bee,caption,w07,LIME,model,25,200,0.9854666666666668,0.001,0.9103862722462722
ant_bee,caption,w07,LIME,seed,5,200,0.97525,0.001,0.9234849927849929
ant_bee,caption,w07,SMER,seed,5,200,1.0,0.0,1.0
ant_bee,caption_noclass,w07,LIME,model,25,200,0.9326166666666666,0.0182,0.8404467195767196
ant_bee,caption_noclass,w07,LIME,seed,5,200,0.97825,0.002,0.9655714285714284
ant_bee,caption_noclass,w07,SMER,seed,5,200,1.0,0.0,1.0
cucumber_zucchini,caption,w07,LIME,model,25,200,0.9126783333333331,0.0058,0.7438613804713805
cucumber_zucchini,caption,w07,LIME,seed,5,200,0.96875,0.001,0.92415873015873
cucumber_zucchini,caption,w07,SMER,seed,5,200,1.0,0.0,1.0
cucumber_zucchini,caption_noclass,w07,LIME,model,25,200,0.8514916666666668,0.1006,0.583820582010582
cucumber_zucchini,caption_noclass,w07,LIME,seed,5,200,0.989,0.0069999999999999,0.9747507936507936
cucumber_zucchini,caption_noclass,w07,SMER,seed,5,200,1.0,0.0,1.0
hotpot_vase,caption,w07,LIME,model,25,200,0.963125,0.0213999999999999,0.8643131601731602
hotpot_vase,caption,w07,LIME,seed,5,200,0.9723,0.009,0.926183694083694
hotpot_vase,caption,w07,SMER,seed,5,200,1.0,0.0,1.0
hotpot_vase,caption_noclass,w07,LIME,model,25,200,0.9809666666666668,0.0172,0.9086567484367484
hotpot_vase,caption_noclass,w07,LIME,seed,5,200,0.97275,0.02,0.922536507936508
hotpot_vase,caption_noclass,w07,SMER,seed,5,200,1.0,0.0,1.0
acousticguitar_violin,caption,w30,LIME,model,25,200,0.9822666666666666,0.0024,0.6667110695052121
acousticguitar_violin,caption,w30,LIME,seed,5,200,0.9825,0.005,0.5967634425605713
acousticguitar_violin,caption,w30,SMER,seed,5,200,1.0,0.0,1.0
acousticguitar_violin,caption_noclass,w30,LIME,model,25,200,0.8874583333333333,0.0332,0.5803697055825654
acousticguitar_violin,caption_noclass,w30,LIME,seed,5,200,0.9425,0.006,0.7008952121542714
acousticguitar_violin,caption_noclass,w30,SMER,seed,5,200,1.0,0.0,1.0
ambulance_firetruck,caption,w30,LIME,model,25,200,0.930325,0.0058,0.5061297979200949
ambulance_firetruck,caption,w30,LIME,seed,5,200,0.9685,0.009,0.6045064225043973
ambulance_firetruck,caption,w30,SMER,seed,5,200,1.0,0.0,1.0
ambulance_firetruck,caption_noclass,w30,LIME,model,25,200,0.857945,0.0682,0.4534002728745007
ambulance_firetruck,caption_noclass,w30,LIME,seed,5,200,0.95775,0.01,0.6868525717067229
ambulance_firetruck,caption_noclass,w30,SMER,seed,5,200,1.0,0.0,1.0
ant_bee,caption,w30,LIME,model,25,200,0.965175,0.0934,0.7067852099845566
ant_bee,caption,w30,LIME,seed,5,200,0.9626,0.075,0.5693351804697471
ant_bee,caption,w30,SMER,seed,5,200,1.0,0.0,1.0
ant_bee,caption_noclass,w30,LIME,model,25,200,0.9605833333333332,0.0176,0.6112658702739938
ant_bee,caption_noclass,w30,LIME,seed,5,200,0.97325,0.003,0.6008249007751958
ant_bee,caption_noclass,w30,SMER,seed,5,200,1.0,0.0,1.0
cucumber_zucchini,caption,w30,LIME,model,25,200,0.8275566666666667,0.0748,0.3053875721118662
cucumber_zucchini,caption,w30,LIME,seed,5,200,0.9511,0.013,0.6781731385098435
cucumber_zucchini,caption,w30,SMER,seed,5,200,1.0,0.0,1.0
cucumber_zucchini,caption_noclass,w30,LIME,model,25,200,0.797655,0.1434,0.2755368414498475
cucumber_zucchini,caption_noclass,w30,LIME,seed,5,200,0.96475,0.036,0.6601091493756682
cucumber_zucchini,caption_noclass,w30,SMER,seed,5,200,1.0,0.0,1.0
hotpot_vase,caption,w30,LIME,model,25,200,0.962025,0.0228,0.7908036766590837
hotpot_vase,caption,w30,LIME,seed,5,200,0.9215,0.039,0.621174192177774
hotpot_vase,caption,w30,SMER,seed,5,200,1.0,0.0,1.0
hotpot_vase,caption_noclass,w30,LIME,model,25,200,0.9507,0.0409999999999999,0.7627882802613661
hotpot_vase,caption_noclass,w30,LIME,seed,5,200,0.9356,0.051,0.6377008468913687
hotpot_vase,caption_noclass,w30,SMER,seed,5,200,1.0,0.0,1.0
